,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.42,1.09,1.09,1.61,1.25,1.03,2.44,2.38,2.48,4.42,3.14,3.05,3.49,2.3,3.8,3.11
f_1,1.86,2.43,1.13,1.13,1.06,1.14,1.97,2.34,2.61,2.59,1.74,2.71,3.09,2.19,3.01,2.42
d_1,1.2,1.38,2.53,1.12,1.18,1.18,2.38,2.07,4.14,1.86,2.68,2.9,3.5,2.75,2.95,2.43
c_1,1.01,1.34,1.19,2.61,2.03,1.24,2.35,2.22,1.53,2.18,2.39,2.1,3.37,2.42,3.24,2.66
b_1,1.16,1.23,1.2,1.01,2.83,2.04,2.68,2.65,2.67,2.49,2.79,1.54,3.13,3.29,3.22,2.7
a_1,1.3,1.27,1.47,1.23,1.03,3.19,2.61,2.42,2.77,2.46,2.75,2.62,3.56,2.6,3.38,1.7
h_1,1.22,1.83,1.36,1.41,1.16,1.26,4.08,3.35,2.9,3.18,2.66,2.86,2.89,3.31,4.0,2.63
g_1,1.32,1.22,1.84,1.31,1.04,1.43,2.43,4.49,2.95,2.57,3.99,2.98,2.81,3.1,3.11,3.13
c_0,1.45,1.37,1.45,1.11,1.12,1.4,2.52,2.84,4.05,3.37,3.44,4.93,3.59,3.38,3.67,4.01
d_0,1.16,1.46,0.96,2.34,1.47,1.31,2.18,2.65,2.14,3.93,2.96,2.67,3.59,2.89,3.9,3.08
f_0,1.19,1.21,1.43,1.64,1.46,1.24,2.82,2.13,2.8,3.28,4.37,3.27,3.53,5.37,3.5,3.1
b_0,1.26,1.38,1.6,1.52,1.15,1.06,2.76,2.85,2.63,3.12,3.1,4.48,3.88,3.49,3.9,6.1
h_0,1.27,1.59,1.47,1.38,1.26,1.32,2.07,3.44,2.83,3.04,2.75,2.99,2.93,2.51,4.64,3.12
e_0,0.85,1.68,1.46,1.64,1.21,1.49,2.63,2.75,2.86,2.69,2.65,3.08,4.18,5.02,3.31,2.89
g_0,1.14,1.21,1.99,1.4,1.25,1.28,2.67,2.14,2.9,2.68,4.27,2.84,3.16,3.75,3.31,3.04
a_0,1.2,1.56,1.66,1.47,1.44,1.0,3.08,2.59,2.28,3.09,3.18,2.43,3.79,2.97,3.78,5.26
