,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.06,2.6,1.99,2.62,2.0,1.8,0.64,0.83,0.66,0.68,0.56,0.84,0.53,0.38,0.49,0.55
e_1,1.53,1.06,2.19,2.34,2.73,2.11,0.96,1.0,0.74,0.86,0.71,0.75,0.8,0.6,1.3,0.54
d_1,2.53,2.89,1.06,2.28,1.98,1.94,0.79,0.6,0.74,1.13,0.69,0.61,0.53,0.48,0.56,0.33
c_1,2.32,2.14,2.66,1.06,2.6,1.99,0.87,0.72,1.02,0.46,0.63,0.6,0.6,0.57,0.52,0.53
b_1,3.08,2.25,2.88,1.53,1.06,2.89,1.02,1.11,0.95,0.82,1.15,0.71,0.68,0.69,0.88,0.63
a_1,3.4,3.58,3.34,3.9,2.29,1.07,1.8,1.53,0.98,1.09,1.31,0.95,1.58,0.83,0.99,0.78
h_1,7.36,5.71,5.74,6.94,6.63,4.73,1.34,2.74,1.66,1.6,1.87,1.54,1.46,1.84,1.41,1.33
g_1,7.87,7.26,7.39,9.0,6.98,5.37,1.99,1.33,1.91,2.05,2.08,1.82,1.72,1.06,1.78,1.94
c_0,8.29,7.6,4.67,12.37,6.44,5.34,2.57,3.4,1.49,2.73,2.44,1.93,2.06,1.7,2.14,1.65
d_0,7.56,4.49,11.16,8.82,6.93,6.08,2.91,3.18,2.04,1.53,2.31,2.04,1.99,1.73,1.68,1.92
b_0,8.83,7.09,6.95,11.57,10.86,6.46,3.02,2.64,1.48,2.59,1.53,2.29,2.56,1.76,1.97,1.53
f_0,12.64,8.48,7.78,10.81,8.0,8.14,3.56,2.37,2.51,2.85,2.28,1.6,2.28,2.36,2.66,1.52
a_0,11.34,9.29,9.37,10.81,12.52,11.56,4.36,3.86,2.49,2.99,1.69,2.68,1.62,2.6,2.55,2.08
h_0,12.5,9.66,9.75,10.0,8.26,8.41,4.95,3.98,2.86,3.19,2.79,2.43,2.39,2.99,2.64,2.46
e_0,17.21,12.55,10.34,13.0,8.85,8.03,4.19,3.54,3.3,3.97,3.45,1.74,2.68,2.05,1.55,2.06
g_0,12.16,11.17,13.01,11.9,10.32,8.77,3.52,5.91,3.59,3.36,3.3,3.74,3.29,2.08,2.56,3.3
