,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.09,1.46,2.58,2.74,2.53,2.23,0.7,0.57,0.76,0.5,0.62,0.52,0.4,0.67,0.41,0.45
f_1,2.42,1.09,2.25,2.74,2.47,2.05,0.52,0.62,0.79,0.5,0.71,0.49,0.28,0.49,0.5,0.4
d_1,2.93,2.89,1.08,2.77,2.34,2.37,0.65,0.76,0.46,0.53,0.51,0.56,0.34,0.46,0.46,0.23
c_1,2.11,2.78,3.46,1.09,2.48,2.23,0.73,0.34,0.76,0.72,0.51,0.5,0.39,0.46,0.51,0.4
b_1,2.9,3.86,3.11,1.81,1.11,2.97,0.88,0.58,0.86,0.94,0.64,0.88,0.47,0.66,0.57,0.42
a_1,4.63,5.47,4.64,3.92,2.13,1.12,1.48,1.02,1.2,1.04,0.8,1.5,0.59,1.01,1.26,0.63
h_1,9.15,9.26,9.01,9.01,9.25,8.66,1.55,1.94,2.91,1.8,1.77,1.79,1.58,1.55,1.39,1.32
d_0,7.14,9.47,14.22,11.76,12.52,9.57,3.61,1.74,4.09,2.25,2.3,2.16,1.58,2.49,2.23,1.95
g_1,11.65,11.39,11.55,12.2,10.6,10.41,2.35,2.35,1.58,2.28,1.99,2.06,1.2,1.77,1.7,1.57
c_0,12.77,10.95,6.99,18.79,12.35,13.58,3.52,3.71,3.14,1.73,2.38,2.58,1.71,2.38,1.91,1.6
f_0,12.33,15.39,14.86,13.02,13.46,11.69,3.78,2.82,2.58,2.73,1.85,2.52,1.88,2.91,2.52,1.29
b_0,12.86,13.56,11.72,20.96,19.33,14.26,3.92,3.12,4.37,1.77,2.78,1.83,2.09,2.83,2.59,2.27
h_0,18.06,17.0,18.07,18.37,16.91,14.46,6.38,3.93,5.7,3.72,3.8,3.95,3.02,2.91,3.59,2.71
e_0,23.53,24.94,19.58,21.23,19.07,16.48,5.77,4.6,5.05,4.68,2.4,3.68,2.9,2.03,4.19,2.49
a_0,20.09,19.53,18.69,25.74,27.85,23.65,5.65,4.18,5.93,3.25,3.85,2.11,3.6,3.08,2.14,2.71
g_0,23.37,21.9,20.31,21.51,20.59,19.51,4.58,4.75,7.12,4.16,4.19,4.29,2.6,3.84,3.89,3.21
