,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,3.76,0.36,0.4,0.45,0.37,0.39,0.78,1.4,0.6,0.76,0.83,0.89,0.95,0.62,0.97,0.17
f_1,0.69,3.93,0.44,0.35,0.36,0.27,0.76,0.75,0.71,0.83,0.8,0.2,1.05,0.74,0.75,0.54
d_1,0.44,0.44,4.12,0.31,0.37,0.29,0.74,0.17,1.02,1.54,0.78,0.86,0.78,0.95,0.85,0.73
c_1,0.32,0.4,0.35,4.4,0.85,0.29,0.8,0.91,0.62,0.23,0.79,0.67,0.9,0.77,0.83,0.76
b_1,0.33,0.37,0.4,0.39,5.01,0.85,0.63,0.92,0.63,0.74,0.21,0.88,0.64,0.82,0.6,1.15
a_1,0.39,0.49,0.32,0.49,0.36,6.77,0.69,0.85,0.64,0.71,0.62,0.73,0.76,0.12,0.92,0.84
h_1,0.57,0.95,0.66,0.6,0.5,0.82,5.46,1.31,1.63,1.45,1.55,1.3,0.52,1.2,2.22,1.98
d_0,0.67,0.79,0.19,1.47,0.6,0.65,1.46,3.58,1.07,0.97,1.4,1.61,1.74,1.5,1.47,1.54
g_1,0.64,0.62,1.13,0.59,0.62,0.36,1.18,1.17,6.64,1.28,1.51,1.87,1.56,1.43,0.59,1.47
c_0,0.66,0.82,0.77,0.31,0.46,0.81,1.74,1.04,1.36,4.21,2.8,2.07,1.98,1.57,2.08,1.7
b_0,0.74,0.7,0.84,0.68,0.22,0.72,1.39,1.49,1.28,1.43,4.62,1.62,1.84,2.97,1.72,1.66
f_0,0.61,0.34,0.72,0.91,0.62,0.84,1.38,1.49,1.58,1.36,1.62,4.71,1.77,2.14,1.91,3.29
h_0,0.69,0.96,0.79,0.73,0.67,0.53,0.53,1.18,1.86,1.14,1.81,1.47,0.64,1.46,1.68,1.39
a_0,0.7,0.85,0.8,0.75,0.62,,1.28,1.36,1.48,1.38,2.04,1.58,2.1,6.55,1.64,1.75
g_0,0.66,0.54,1.15,0.66,0.68,0.61,1.12,1.16,0.59,0.95,1.32,2.46,1.38,1.39,0.81,1.92
e_0,0.17,0.72,0.8,1.11,0.63,0.85,0.95,1.03,1.12,1.31,1.49,1.91,1.29,1.6,1.55,6.47
