,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.46,16.39,29.45,37.79,31.74,33.59,9.11,10.48,7.9,6.9,6.0,8.15,4.43,5.83,7.4,
f_1,44.05,0.45,32.73,43.64,25.92,36.4,5.83,8.71,7.57,5.98,7.05,,2.96,6.78,3.28,8.27
d_1,33.42,34.04,0.42,37.07,34.36,35.91,9.16,6.08,,7.14,7.88,6.16,4.57,9.32,3.0,8.95
c_1,46.59,45.2,38.43,0.42,47.24,32.35,9.39,10.41,3.26,,6.8,6.13,5.33,6.05,4.37,6.43
b_1,33.71,41.42,43.67,20.04,0.39,36.63,12.91,11.92,6.3,8.6,,10.91,4.57,9.12,7.01,7.08
a_1,55.79,38.09,41.07,52.69,24.27,0.32,19.59,10.39,8.77,11.12,12.9,10.23,9.02,,,
h_1,21.06,20.43,15.65,14.76,18.82,18.32,0.38,3.81,3.83,3.25,2.55,4.51,,4.76,2.73,2.83
g_1,23.43,27.67,19.28,19.12,15.52,21.26,3.38,0.34,5.68,4.23,3.68,4.13,2.13,4.08,,4.53
d_0,8.21,15.73,,12.18,20.92,15.01,3.51,6.71,0.51,2.72,4.12,2.47,2.76,2.49,2.84,2.24
c_0,12.98,15.9,8.85,,15.24,15.93,4.46,6.82,3.24,0.48,3.79,2.73,2.3,2.82,2.73,3.04
b_0,15.7,16.1,23.58,20.46,,21.73,4.3,3.86,3.78,1.95,0.47,3.5,2.38,4.45,1.88,2.67
f_0,18.66,,16.43,16.85,12.44,13.39,5.83,3.26,4.21,6.47,2.91,0.42,2.56,3.2,1.81,3.0
h_0,16.31,12.27,11.65,10.96,15.61,11.71,,2.85,2.42,2.29,2.46,2.36,,3.15,1.48,2.62
a_0,22.85,20.24,24.06,19.31,30.97,,5.91,6.38,3.12,6.19,2.12,4.96,3.54,0.37,3.5,
g_0,13.23,15.59,13.7,18.11,21.29,,4.54,,2.92,2.29,3.65,4.07,1.02,2.49,,2.49
e_0,,26.54,31.09,24.66,20.71,,4.85,7.41,4.19,3.87,4.26,2.26,3.23,,2.25,0.37
