,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.26,1.1,0.53,0.56,0.45,0.35,0.98,0.89,1.07,1.07,1.14,0.48,1.4,0.54,0.87,1.06
e_1,0.66,2.31,0.53,0.67,0.43,0.39,1.08,0.98,0.99,2.26,1.37,1.37,1.45,0.61,0.94,1.33
d_1,0.61,0.5,2.35,0.43,0.62,0.43,1.03,0.9,2.37,0.5,1.26,1.24,1.38,1.14,0.93,1.32
c_1,0.61,0.54,0.55,2.52,0.98,0.41,0.99,0.92,0.44,1.12,0.93,0.99,1.31,0.82,0.82,1.16
b_1,0.7,0.49,0.68,0.45,2.56,0.74,1.0,0.88,1.04,1.09,0.57,1.21,1.4,0.88,0.74,1.09
a_1,0.71,0.44,0.63,0.58,0.52,3.21,1.29,0.83,1.44,1.05,1.19,0.93,1.4,1.34,0.58,1.25
h_1,1.0,0.64,0.69,0.7,0.65,0.48,3.08,1.34,1.19,1.17,1.21,1.39,1.06,0.93,1.28,2.32
g_1,0.59,0.59,1.13,0.62,0.6,0.5,1.29,3.34,1.19,1.15,1.49,2.21,1.65,1.09,1.14,1.03
c_0,0.81,0.82,0.75,0.45,0.46,0.49,1.29,1.27,2.69,1.49,2.94,1.67,2.04,1.43,1.55,1.75
d_0,0.74,0.72,0.44,1.35,0.6,0.39,1.3,1.18,0.81,2.68,1.31,1.27,1.82,1.27,1.07,1.62
b_0,0.75,0.77,0.69,0.78,0.41,0.43,1.46,1.34,1.35,1.55,2.78,1.52,2.15,1.38,2.94,1.79
f_0,0.44,0.52,0.9,0.81,0.69,0.49,1.25,1.24,1.64,1.48,1.63,2.89,2.2,2.62,1.39,1.69
h_0,0.96,0.84,0.77,0.82,0.47,0.43,0.82,1.58,1.58,1.41,1.41,1.35,1.11,0.95,1.27,2.03
e_0,0.96,0.47,0.79,0.63,0.64,0.61,1.53,1.17,1.5,1.14,1.53,1.11,2.29,3.32,1.52,1.88
a_0,0.76,0.66,0.82,0.68,0.62,0.28,1.51,1.33,1.86,1.26,1.54,1.57,2.04,1.43,3.09,2.23
g_0,0.56,0.67,1.15,0.72,0.54,0.48,1.08,0.95,1.6,1.21,1.66,2.21,2.08,1.46,1.4,0.93
