,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,0.91,0.78,1.05,0.86,0.85,0.2,0.26,0.19,0.22,0.17,0.21,0.16,0.1,0.17,0.15
e_1,0.6,0.41,0.98,0.98,1.1,0.87,0.27,0.32,0.21,0.21,0.2,0.24,0.21,0.14,0.34,0.15
d_1,0.98,1.15,0.41,0.97,0.88,0.8,0.22,0.19,0.17,0.27,0.18,0.16,0.17,0.12,0.16,0.08
c_1,1.0,0.81,1.14,0.41,0.89,0.8,0.28,0.26,0.29,0.12,0.21,0.18,0.19,0.14,0.17,0.14
b_1,1.12,0.99,1.1,0.59,0.39,1.05,0.34,0.33,0.32,0.2,0.33,0.19,0.19,0.18,0.23,0.16
a_1,1.24,1.25,1.19,1.26,0.72,0.33,0.44,0.41,0.27,0.33,0.35,0.28,0.39,0.15,0.24,0.18
h_1,1.88,1.7,1.65,1.9,1.87,1.45,0.28,0.55,0.35,0.35,0.37,0.35,0.31,0.31,0.33,0.24
g_1,2.15,2.07,1.76,2.47,1.86,1.64,0.41,0.25,0.38,0.42,0.37,0.34,0.35,0.19,0.36,0.3
c_0,2.2,2.25,1.24,2.96,1.87,1.59,0.55,0.62,0.28,0.61,0.42,0.38,0.37,0.3,0.42,0.26
d_0,1.87,1.26,2.64,2.22,2.1,1.87,0.58,0.77,0.44,0.3,0.48,0.43,0.43,0.34,0.44,0.38
b_0,2.0,1.94,1.7,2.93,2.84,1.87,0.56,0.58,0.27,0.49,0.27,0.4,0.39,0.29,0.41,0.25
f_0,2.84,2.22,2.08,2.65,2.19,1.89,0.67,0.45,0.46,0.56,0.42,0.28,0.43,0.36,0.49,0.24
a_0,2.42,2.33,2.23,2.77,3.24,2.86,0.71,0.62,0.42,0.51,0.3,0.46,0.27,0.39,0.45,0.34
h_0,2.61,2.45,2.36,2.72,2.18,2.01,0.9,0.7,0.52,0.56,0.45,0.44,0.43,0.47,0.49,0.38
e_0,3.66,3.34,2.39,2.74,2.37,1.97,0.76,0.62,0.55,0.67,0.55,0.28,0.46,0.33,0.25,0.32
g_0,2.84,2.7,2.63,2.66,2.5,2.08,0.57,1.0,0.53,0.6,0.57,0.54,0.56,0.3,0.51,0.43
