,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.87,0.18,0.1,0.07,0.06,0.05,0.09,0.07,0.05,0.07,0.05,0.01,0.05,0.03,0.04,0.03
e_1,0.12,0.88,0.08,0.05,0.06,0.04,0.08,0.16,0.06,0.07,0.08,0.07,0.07,0.01,0.06,0.05
c_1,0.09,0.09,0.88,0.08,0.14,0.05,0.07,0.08,0.05,0.01,0.04,0.05,0.06,0.04,0.04,0.06
d_1,0.1,0.1,0.06,0.88,0.06,0.04,0.09,0.02,0.06,0.16,0.07,0.05,0.09,0.05,0.04,0.07
b_1,0.09,0.08,0.07,0.08,0.87,0.11,0.06,0.08,0.06,0.06,0.01,0.08,0.08,0.06,0.03,0.06
a_1,0.1,0.09,0.08,0.09,0.05,0.87,0.07,0.1,0.06,0.06,0.07,0.07,0.09,0.06,0.01,0.06
h_1,0.22,0.15,0.14,0.12,0.13,0.07,0.53,0.13,0.13,0.12,0.09,0.1,0.04,0.09,0.07,0.11
d_0,0.19,0.13,0.3,0.04,0.09,0.06,0.15,0.38,0.12,0.11,0.13,0.11,0.14,0.09,0.09,0.11
g_1,0.16,0.11,0.13,0.21,0.14,0.07,0.13,0.13,0.52,0.15,0.11,0.16,0.1,0.09,0.08,0.03
c_0,0.22,0.16,0.08,0.18,0.08,0.07,0.13,0.14,0.11,0.38,0.27,0.13,0.13,0.08,0.1,0.1
b_0,0.19,0.18,0.14,0.15,0.05,0.08,0.18,0.16,0.11,0.13,0.38,0.13,0.11,0.09,0.18,0.11
f_0,0.07,0.15,0.2,0.14,0.14,0.1,0.16,0.19,0.12,0.11,0.14,0.4,0.12,0.18,0.07,0.14
h_0,0.19,0.14,0.17,0.15,0.13,0.09,0.04,0.15,0.13,0.15,0.11,0.1,0.06,0.12,0.07,0.14
e_0,0.18,0.03,0.26,0.11,0.14,0.09,0.18,0.13,0.1,0.16,0.11,0.15,0.14,0.34,0.07,0.14
a_0,0.16,0.15,0.19,0.12,0.12,0.04,0.17,0.17,0.12,0.13,0.14,0.12,0.14,0.08,0.36,0.13
g_0,0.11,0.14,0.17,0.22,0.15,0.07,0.14,0.14,0.04,0.12,0.1,0.2,0.11,0.11,0.06,0.04
