,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.43,0.6,0.94,0.9,0.85,0.94,0.25,0.19,0.21,0.29,0.22,0.28,0.14,0.19,0.14,0.29
f_1,0.87,0.43,0.87,0.89,0.85,0.78,0.2,0.19,0.18,0.27,0.18,0.22,0.11,0.16,0.13,0.16
d_1,1.02,0.9,0.42,1.01,0.91,0.73,0.24,0.27,0.18,0.16,0.18,0.17,0.12,0.16,0.09,0.14
c_1,0.8,0.94,1.22,0.4,0.89,0.93,0.28,0.13,0.25,0.27,0.2,0.2,0.15,0.19,0.15,0.17
b_1,1.09,1.22,1.25,0.66,0.36,1.03,0.36,0.23,0.3,0.36,0.33,0.2,0.16,0.22,0.15,0.19
a_1,1.34,1.41,1.37,1.25,0.76,0.3,0.48,0.28,0.32,0.39,0.37,0.28,0.19,0.39,0.18,0.23
h_1,1.63,1.7,1.62,1.82,1.7,1.52,0.28,0.37,0.36,0.49,0.34,0.32,0.32,0.35,0.26,0.26
d_0,1.31,1.71,2.37,2.12,1.9,1.93,0.64,0.32,0.41,0.6,0.43,0.45,0.33,0.35,0.35,0.45
c_0,2.01,2.0,1.26,2.88,2.03,1.65,0.55,0.47,0.29,0.44,0.39,0.41,0.29,0.38,0.26,0.34
g_1,1.92,1.9,1.78,2.21,2.15,1.72,0.48,0.45,0.37,0.27,0.4,0.38,0.22,0.37,0.33,0.38
b_0,1.97,1.95,1.62,2.73,2.95,1.78,0.56,0.44,0.26,0.52,0.28,0.39,0.3,0.35,0.27,0.33
f_0,2.23,2.58,1.93,2.38,2.23,2.17,0.64,0.49,0.41,0.44,0.42,0.27,0.35,0.38,0.22,0.4
h_0,2.38,2.52,2.24,2.6,2.23,1.84,0.85,0.53,0.42,0.6,0.44,0.44,0.39,0.51,0.32,0.39
a_0,2.49,2.43,2.46,2.71,2.92,3.16,0.74,0.54,0.42,0.61,0.31,0.46,0.43,0.27,0.4,0.5
g_0,2.68,2.54,2.51,2.68,2.77,2.11,0.63,0.55,0.5,0.75,0.53,0.51,0.33,0.5,0.44,0.43
e_0,3.15,3.32,2.3,2.76,2.55,2.67,0.7,0.66,0.56,0.66,0.5,0.28,0.42,0.5,0.3,0.27
