,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.06,0.77,0.7,1.0,0.7,0.65,0.94,1.58,0.82,0.81,1.01,1.11,0.99,0.76,0.93,0.93
f_1,1.4,2.16,0.65,0.65,0.55,0.59,0.91,0.95,0.86,1.03,0.66,0.97,0.97,0.6,1.07,0.85
d_1,0.69,0.86,2.34,0.54,0.72,0.66,0.97,0.57,0.95,1.84,0.96,1.15,0.96,1.12,0.99,1.08
c_1,0.63,0.68,0.7,2.27,1.45,0.7,0.99,0.88,0.79,0.48,1.01,0.62,0.96,0.92,0.7,0.96
b_1,0.66,0.69,0.79,0.76,2.45,1.55,0.92,0.88,0.96,0.86,0.9,0.6,0.98,1.02,0.73,1.01
a_1,0.72,0.92,0.79,0.84,0.67,3.36,0.84,0.97,0.91,0.73,1.03,0.89,1.17,1.09,0.7,0.89
h_1,0.77,1.15,0.96,0.84,0.75,0.63,1.99,0.83,1.55,0.97,0.97,1.01,0.78,1.12,1.17,1.46
d_0,0.73,0.74,0.61,1.49,0.92,0.76,1.05,1.57,1.05,0.68,1.15,1.11,1.06,1.14,1.31,1.04
g_1,0.73,0.77,1.33,0.82,0.76,0.83,0.93,0.77,2.39,1.0,1.59,1.0,0.96,1.09,1.02,0.78
c_0,0.9,0.91,1.01,0.63,0.52,0.77,1.07,1.13,1.04,1.79,1.16,2.23,1.12,1.05,1.6,1.26
f_0,0.67,0.64,0.95,0.99,0.84,0.9,1.16,1.03,1.21,1.08,1.9,1.22,1.1,2.26,1.17,1.18
b_0,0.82,0.99,0.82,0.98,0.53,0.45,1.2,1.12,1.24,0.94,1.07,2.05,1.15,1.22,2.55,1.17
h_0,0.74,1.14,0.93,0.81,0.78,0.88,0.85,1.09,1.46,0.97,1.03,1.04,0.83,1.08,0.95,1.28
e_0,0.61,0.94,0.96,0.89,0.71,0.73,1.28,1.04,1.41,1.11,0.98,1.24,1.38,2.54,1.58,1.31
a_0,0.87,0.85,0.99,0.89,0.8,0.5,1.23,1.03,1.35,1.2,1.07,1.25,0.98,0.98,2.2,1.06
g_0,0.63,0.74,1.38,0.7,0.88,0.77,1.02,0.83,1.0,1.18,1.63,1.01,1.01,1.24,1.25,0.92
