,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.08,0.99,0.83,1.04,0.86,0.63,0.54,0.96,0.66,0.67,0.66,0.54,0.51,0.58,0.49
f_1,0.93,1.0,1.36,0.98,0.83,0.91,0.62,0.69,0.64,0.65,0.64,0.39,0.5,0.57,0.53,0.59
e_1,1.01,0.74,1.0,1.05,1.04,0.81,0.83,0.75,0.66,0.62,0.9,0.67,0.65,0.63,0.75,0.57
c_1,1.2,1.02,0.95,1.0,1.38,0.78,0.69,0.72,0.62,0.57,0.49,0.67,0.59,0.64,0.52,0.66
b_1,0.96,1.21,0.96,0.72,1.0,1.78,0.77,0.65,0.76,0.53,0.63,0.54,0.64,0.7,0.57,0.57
a_1,1.16,1.1,1.23,1.28,0.56,1.0,0.98,0.8,0.75,1.01,0.89,0.7,0.93,0.73,0.74,0.64
h_1,1.61,1.64,1.18,1.5,1.34,1.01,1.0,1.15,0.91,0.9,0.77,0.87,0.72,0.76,0.83,0.91
g_1,1.88,1.47,1.31,1.4,1.4,1.19,0.87,1.0,0.81,0.9,0.74,1.08,0.85,0.82,0.73,0.84
c_0,1.06,1.71,1.61,1.69,1.32,1.38,1.12,1.18,1.0,1.41,1.02,1.25,1.01,0.98,1.0,0.95
b_0,1.43,1.65,1.59,1.79,1.74,1.02,1.08,1.06,0.71,1.0,1.08,1.0,0.88,1.21,0.87,0.81
d_0,1.43,1.62,1.06,2.11,1.56,1.11,1.35,1.35,1.0,0.95,1.0,1.02,0.98,0.92,1.04,0.73
f_0,1.61,2.31,1.44,1.5,1.8,1.44,1.08,0.91,0.83,0.98,0.98,1.0,0.98,0.78,1.44,0.69
h_0,1.81,1.99,1.54,1.69,1.63,1.03,1.38,1.2,0.97,1.14,1.01,1.07,1.0,0.86,1.02,1.06
a_0,1.96,1.74,1.52,1.66,1.46,1.2,1.35,1.2,1.06,0.8,1.13,1.3,1.23,1.0,0.83,1.24
e_0,1.66,1.88,1.34,1.94,1.64,1.25,1.13,1.4,0.98,1.13,0.95,0.67,0.98,1.22,1.0,0.99
g_0,1.91,1.68,1.81,1.64,1.72,1.46,1.09,1.21,1.09,1.2,1.36,1.32,0.95,0.74,1.03,1.0
