,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.11,2.73,3.03,2.75,2.9,2.67,0.64,0.95,0.67,0.56,0.96,0.61,0.36,0.65,0.61,0.53
e_1,1.81,1.1,3.45,3.29,3.22,2.79,0.86,1.09,0.66,0.64,0.81,0.64,0.49,0.95,0.75,0.5
c_1,3.5,2.49,1.1,4.27,3.1,2.6,0.91,0.91,0.39,0.87,0.61,0.66,0.49,0.63,0.62,0.5
d_1,3.39,3.99,3.48,1.09,3.5,3.24,0.86,0.56,1.11,0.59,0.63,0.56,0.45,0.54,0.53,0.31
b_1,4.12,4.1,2.09,4.19,1.12,4.72,1.14,1.22,0.76,1.29,0.8,1.53,0.58,0.77,0.74,0.49
a_1,6.52,5.32,7.05,6.79,3.06,1.13,1.78,1.83,1.2,1.38,1.23,1.78,1.06,1.19,1.71,0.95
h_1,11.64,12.31,11.64,10.89,10.0,11.07,1.65,3.76,2.41,2.7,2.64,2.56,2.14,2.39,2.11,1.82
g_1,16.41,15.61,14.37,14.1,16.03,11.13,3.02,1.68,2.75,2.97,2.97,2.52,1.51,2.36,2.61,2.54
d_0,13.34,8.9,16.71,18.54,17.08,11.92,4.47,5.08,2.14,3.14,3.11,2.94,2.31,3.25,2.83,2.34
c_0,16.19,15.75,27.9,8.64,18.4,18.23,4.42,4.0,4.27,1.95,3.43,3.16,2.31,3.22,3.16,1.92
f_0,22.4,14.89,17.14,15.28,16.31,12.07,4.62,2.82,3.17,3.61,1.94,3.4,2.49,2.55,3.35,1.45
b_0,17.38,18.73,25.58,14.16,28.42,16.75,4.89,5.01,3.49,1.97,3.31,2.07,2.69,3.15,3.48,2.42
h_0,21.08,21.97,20.84,19.53,21.42,20.43,7.68,6.5,4.22,3.91,4.2,3.56,3.57,3.99,3.38,2.68
e_0,34.25,33.26,23.28,22.76,23.92,21.37,6.79,5.68,5.84,4.4,2.68,5.61,3.41,2.25,4.8,2.42
a_0,25.26,24.21,26.58,26.4,28.42,31.51,7.83,6.5,4.83,4.34,5.17,2.52,3.06,4.45,2.34,3.09
g_0,28.96,28.25,28.13,21.85,26.09,31.51,6.04,9.94,6.22,5.45,5.88,6.51,3.17,4.9,5.26,5.97
