,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.44,1.36,1.47,1.33,1.24,0.47,0.48,0.73,0.51,0.46,0.63,0.3,0.43,0.49,0.51
e_1,0.95,0.65,1.44,1.71,1.52,1.35,0.67,0.56,0.66,0.6,0.54,0.7,0.46,0.5,0.88,0.44
d_1,1.61,1.58,0.65,1.39,1.23,1.31,0.64,0.58,0.42,0.86,0.57,0.5,0.41,0.48,0.53,0.31
c_1,1.57,1.14,1.98,0.63,2.22,1.17,0.65,0.72,0.65,0.31,0.47,0.46,0.43,0.45,0.41,0.42
b_1,1.61,1.66,1.58,0.79,0.63,1.97,0.88,0.64,0.68,0.66,0.88,0.51,0.52,0.51,0.5,0.48
a_1,1.88,1.78,1.68,2.31,0.95,0.58,0.78,0.61,0.85,0.79,0.83,0.77,0.66,1.36,0.59,0.53
h_1,2.42,1.96,2.18,2.31,1.91,1.69,0.59,0.76,1.12,0.71,0.72,0.71,0.79,0.75,0.73,0.63
c_0,2.61,2.51,1.43,5.32,2.39,2.2,1.09,0.62,0.98,1.06,0.99,0.78,0.77,0.9,0.71,0.71
g_1,2.28,2.57,2.47,2.45,2.24,2.4,0.86,0.81,0.55,0.88,0.81,0.88,0.55,0.73,0.64,0.64
d_0,2.23,1.66,2.8,3.31,2.33,1.86,1.3,0.87,1.27,0.64,0.92,0.81,0.73,0.83,0.82,0.62
b_0,2.76,2.45,2.02,2.9,3.9,2.09,1.13,0.57,1.2,0.89,0.59,0.85,0.86,1.01,0.83,0.56
f_0,4.03,2.31,2.31,2.78,2.58,2.15,1.38,0.86,0.8,1.05,0.87,0.59,0.8,0.95,1.11,0.5
h_0,3.0,2.6,2.47,2.67,2.49,2.1,1.73,0.87,1.34,0.96,0.87,0.85,1.06,0.76,0.92,0.92
a_0,3.6,2.9,2.35,2.79,3.87,3.02,1.1,0.88,1.4,1.1,0.61,0.88,1.03,0.59,0.94,0.94
e_0,3.43,3.42,2.52,3.0,2.92,2.98,1.49,1.04,1.66,1.09,1.01,0.54,0.83,0.91,0.56,0.81
g_0,2.86,2.79,3.27,2.77,2.7,2.6,1.07,1.07,1.81,1.24,1.26,1.19,0.76,0.98,0.93,1.18
