,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.5,0.78,0.47,0.45,0.36,0.32,0.47,0.54,0.57,0.52,0.23,0.5,0.35,0.55,0.37,0.6
e_1,0.39,1.5,0.39,0.52,0.51,0.4,0.55,0.93,0.49,0.59,0.57,0.54,0.47,0.63,0.17,0.48
d_1,0.46,0.62,1.54,0.4,0.35,0.42,0.5,0.29,0.4,0.95,0.55,0.57,0.41,0.5,0.5,0.48
c_1,0.51,0.38,0.44,1.55,0.75,0.36,0.58,0.55,0.41,0.22,0.51,0.47,0.49,0.58,0.51,0.63
b_1,0.59,0.4,0.54,0.39,1.59,0.63,0.54,0.55,0.51,0.51,0.67,0.21,0.5,0.57,0.52,0.51
a_1,0.6,0.47,0.47,0.53,0.42,1.76,0.68,0.69,0.49,0.62,0.54,0.72,,0.52,0.49,0.52
h_1,0.97,0.71,0.79,0.73,0.66,0.45,1.66,0.79,0.87,0.81,0.78,0.77,0.68,0.52,0.63,0.99
d_0,0.87,0.62,0.42,1.35,0.7,0.46,0.97,1.47,0.8,0.83,0.92,0.84,0.8,1.07,0.78,0.97
g_1,0.57,0.75,1.18,0.7,0.66,0.67,0.85,0.84,1.78,0.72,0.94,1.0,0.67,0.95,0.78,0.56
c_0,1.05,0.67,0.64,0.44,0.72,0.58,1.08,0.85,1.09,1.53,0.99,1.45,1.12,1.07,0.75,0.88
f_0,0.61,0.72,0.85,0.92,0.63,0.57,1.08,1.01,0.88,0.91,1.56,1.03,0.94,1.17,1.49,0.8
b_0,0.96,0.72,0.95,0.83,0.53,0.35,1.0,0.84,0.74,0.86,0.92,1.59,1.56,1.11,0.83,0.92
a_0,1.06,0.91,0.94,0.74,0.72,,1.09,0.83,0.92,0.76,0.99,0.69,1.61,0.92,0.91,0.98
h_0,0.98,0.71,0.99,0.88,0.66,0.59,0.56,0.89,0.98,0.89,0.89,0.85,0.85,0.58,0.85,1.05
e_0,0.85,0.69,0.78,0.95,0.9,0.75,1.0,0.85,0.92,0.92,0.86,0.92,0.9,1.04,1.67,0.78
g_0,0.75,0.8,1.33,0.84,0.67,0.61,0.88,0.84,0.59,0.89,1.41,0.82,0.86,0.94,1.02,
