,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,0.97,1.77,1.96,1.71,1.66,0.52,0.65,0.4,0.35,0.33,0.52,0.28,0.44,0.7,0.33
f_1,1.44,0.44,1.55,1.71,1.71,1.52,0.36,0.58,0.36,0.29,0.36,0.56,0.2,0.3,0.38,0.34
d_1,2.18,1.69,0.42,1.86,1.62,1.54,0.44,0.3,1.0,0.37,0.37,0.34,0.24,0.36,0.32,0.15
c_1,1.42,1.98,2.24,0.41,1.84,2.03,0.57,0.55,0.2,0.58,0.36,0.36,0.26,0.32,0.33,0.25
b_1,2.08,2.28,2.07,0.98,0.39,2.45,0.57,0.57,0.42,0.62,0.84,0.37,0.28,0.41,0.34,0.32
a_1,3.11,2.42,2.07,2.72,1.31,0.31,0.82,0.77,0.71,0.64,0.57,0.59,0.38,1.18,0.63,0.33
h_1,2.8,3.03,3.03,3.04,2.98,2.3,0.32,0.88,0.54,0.58,0.58,0.71,0.59,0.54,0.65,0.38
g_1,3.75,3.15,2.66,3.26,3.19,2.78,0.67,0.3,0.73,0.66,0.62,0.64,0.4,0.7,0.59,0.58
d_0,1.7,3.26,5.53,3.23,3.55,3.05,0.99,0.95,0.37,0.63,0.62,0.63,0.47,0.71,0.58,0.6
c_0,3.23,3.61,1.63,6.78,3.37,2.67,0.93,0.8,1.19,0.38,0.67,0.73,0.45,0.73,0.61,0.48
b_0,3.04,3.38,2.84,6.17,4.43,2.93,0.97,0.78,0.87,0.37,0.35,0.61,0.55,0.62,0.62,0.71
f_0,4.37,7.07,3.25,3.11,3.12,2.98,0.99,0.62,0.68,0.62,0.71,0.32,0.46,0.82,0.59,0.29
h_0,3.81,3.93,3.67,3.48,3.74,3.18,1.88,1.06,0.86,0.75,0.7,0.66,0.83,0.73,0.72,0.56
a_0,3.18,4.43,4.42,4.55,4.79,5.65,1.38,1.11,0.74,0.63,0.4,0.77,0.49,0.31,1.01,0.55
e_0,6.51,6.42,3.36,3.96,4.36,3.22,1.42,1.05,0.87,0.77,0.78,0.36,0.57,0.83,0.3,0.5
g_0,4.72,4.65,4.0,4.64,4.53,4.62,0.94,1.41,0.97,0.82,0.81,0.81,0.4,0.95,0.75,0.75
