,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.17,0.48,0.39,0.45,0.47,0.41,0.1,0.09,0.1,0.13,0.08,0.11,0.08,0.05,0.07,0.08
c_1,0.45,0.16,0.35,0.45,0.66,0.44,0.11,0.06,0.14,0.14,0.09,0.08,0.09,0.06,0.09,0.07
e_1,0.29,0.51,0.15,0.48,0.44,0.43,0.14,0.11,0.1,0.14,0.1,0.13,0.08,0.07,0.16,0.08
b_1,0.53,0.26,0.45,0.15,0.49,0.48,0.15,0.08,0.13,0.15,0.15,0.1,0.11,0.07,0.09,0.07
d_1,0.46,0.46,0.58,0.44,0.14,0.38,0.12,0.16,0.09,0.07,0.09,0.09,0.11,0.07,0.08,0.04
a_1,0.48,0.5,0.55,0.24,0.42,0.1,0.15,0.13,0.1,0.16,0.12,0.09,0.15,0.07,0.09,0.07
h_1,0.4,0.45,0.36,0.37,0.38,0.34,0.05,0.08,0.09,0.13,0.08,0.08,0.08,0.09,0.07,0.05
d_0,0.44,0.42,0.24,0.43,0.56,0.41,0.12,0.06,0.09,0.13,0.07,0.08,0.07,0.05,0.1,0.06
c_0,0.42,0.83,0.41,0.46,0.21,0.39,0.13,0.15,0.05,0.11,0.08,0.07,0.09,0.06,0.08,0.05
g_1,0.38,0.4,0.4,0.38,0.4,0.38,0.08,0.09,0.09,0.04,0.08,0.08,0.08,0.04,0.08,0.08
b_0,0.36,0.66,0.38,0.61,0.29,0.38,0.11,0.11,0.05,0.11,0.04,0.08,0.07,0.05,0.07,0.05
f_0,0.67,0.45,0.42,0.37,0.28,0.33,0.12,0.09,0.07,0.07,0.08,0.04,0.08,0.06,0.07,0.03
a_0,0.42,0.42,0.38,0.51,0.33,0.59,0.12,0.09,0.06,0.13,0.04,0.07,0.04,0.06,0.07,0.05
h_0,0.37,0.41,0.38,0.41,0.38,0.37,0.14,0.08,0.08,0.1,0.08,0.07,0.07,0.08,0.07,0.05
e_0,0.5,0.42,0.65,0.32,0.34,0.35,0.12,0.08,0.08,0.11,0.08,0.04,0.07,0.05,0.03,0.04
g_0,0.41,0.42,0.42,0.39,0.35,0.37,0.09,0.1,0.08,0.15,0.07,0.08,0.09,0.04,0.07,0.06
