,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,0.61,0.97,0.91,0.93,0.85,0.27,0.27,0.2,0.2,0.19,0.24,0.19,0.14,0.25,0.17
f_1,0.86,0.42,0.9,0.96,0.84,0.84,0.19,0.27,0.19,0.19,0.18,0.19,0.17,0.1,0.14,0.14
d_1,1.01,0.99,0.41,0.86,0.89,0.82,0.23,0.19,0.18,0.26,0.18,0.18,0.16,0.12,0.19,0.09
c_1,0.83,1.02,1.28,0.39,0.98,0.84,0.32,0.25,0.28,0.12,0.21,0.2,0.19,0.13,0.23,0.15
b_1,1.01,1.15,1.02,0.66,0.37,1.06,0.43,0.36,0.26,0.24,0.32,0.22,0.24,0.15,0.23,0.16
a_1,1.36,1.35,1.38,1.15,0.66,0.31,0.41,0.4,0.33,0.33,0.34,0.28,0.35,0.25,0.25,0.2
h_1,1.69,1.77,1.61,1.74,1.47,1.39,0.29,0.47,0.34,0.41,0.3,0.3,0.29,0.28,0.3,0.22
g_1,1.86,1.88,1.66,1.96,1.77,1.49,0.42,0.28,0.38,0.37,0.35,0.33,0.33,0.21,0.35,0.31
c_0,2.22,2.31,1.26,3.01,2.1,1.71,0.55,0.51,0.28,0.66,0.4,0.37,0.35,0.29,0.42,0.25
d_0,1.31,1.9,2.63,2.19,2.15,1.97,0.66,0.54,0.53,0.3,0.44,0.41,0.46,0.3,0.53,0.36
b_0,2.0,2.16,1.89,2.51,2.83,1.87,0.6,0.55,0.27,0.47,0.28,0.34,0.37,0.3,0.38,0.25
f_0,2.13,2.64,2.24,2.15,2.03,2.11,0.6,0.45,0.42,0.48,0.47,0.29,0.4,0.33,0.52,0.21
a_0,2.36,2.42,2.2,2.53,3.09,2.55,0.73,0.69,0.45,0.53,0.26,0.41,0.29,0.29,0.43,0.25
h_0,2.42,2.65,2.44,2.59,2.36,2.14,0.85,0.66,0.51,0.54,0.44,0.43,0.41,0.49,0.42,0.35
e_0,3.18,3.81,2.35,2.69,2.62,2.4,0.76,0.59,0.51,0.6,0.53,0.24,0.49,0.33,0.24,0.3
g_0,3.05,3.05,2.55,2.65,2.74,2.54,0.65,0.9,0.58,0.63,0.54,0.48,0.58,0.33,0.51,0.39
