,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.24,0.93,1.01,0.87,0.7,0.61,0.63,0.72,0.58,0.59,0.6,0.53,0.51,0.48,0.59
e_1,0.81,1.0,0.84,1.25,1.01,0.8,0.74,0.96,0.71,0.62,0.7,0.63,0.6,0.63,0.64,0.57
d_1,1.07,1.17,1.0,0.85,0.87,0.87,0.74,0.67,0.51,0.86,0.65,0.66,0.54,0.57,0.58,0.46
c_1,0.99,0.81,1.17,1.0,1.35,0.9,0.69,0.49,0.69,0.59,0.62,0.54,0.58,0.55,0.58,0.57
b_1,1.14,1.01,1.16,0.75,1.0,1.31,0.75,0.65,0.7,0.71,0.69,0.59,0.56,0.65,0.58,0.65
a_1,1.42,1.24,1.13,1.12,0.76,1.0,0.98,0.9,0.87,0.8,0.75,1.01,0.9,0.73,0.65,0.64
h_1,1.65,1.35,1.37,1.41,1.3,1.04,1.0,0.84,1.06,0.83,0.85,0.81,0.75,0.88,0.74,0.89
d_0,1.57,1.05,1.48,2.03,1.61,1.13,1.17,1.0,1.03,0.87,0.87,1.01,0.84,0.95,0.92,0.95
g_1,1.42,1.42,1.91,1.45,1.36,1.2,0.92,0.99,1.0,0.9,1.03,0.98,0.88,0.76,0.91,0.91
c_0,1.8,1.55,1.19,1.66,1.45,1.12,1.21,1.11,1.13,1.0,0.96,1.31,1.03,0.99,0.94,0.89
f_0,1.64,1.44,1.59,1.59,1.5,1.27,1.22,1.1,0.97,0.96,1.0,1.11,0.98,0.95,1.46,0.69
b_0,1.73,1.55,1.52,1.84,1.67,1.01,1.19,1.0,1.03,0.77,0.91,1.0,1.37,1.0,0.93,0.86
a_0,1.99,1.69,1.78,1.74,1.84,1.17,1.35,1.16,1.06,1.02,1.0,0.78,1.0,1.08,1.0,1.03
h_0,2.01,1.61,1.76,1.76,1.53,1.33,1.12,1.04,1.31,1.02,0.99,1.08,0.91,1.0,0.94,1.1
e_0,2.01,1.54,1.72,1.75,1.76,1.51,1.25,0.99,1.19,1.05,0.78,1.09,1.04,1.11,1.0,0.87
g_0,1.67,1.66,2.1,1.79,1.51,1.52,1.15,1.07,1.1,1.1,1.56,1.19,0.95,0.93,1.17,1.0
