,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.44,0.67,0.49,0.81,0.69,0.71,0.92,0.82,1.76,0.87,0.91,0.9,1.02,0.89,0.51,0.92
f_1,1.08,2.5,0.57,0.66,0.63,0.48,0.78,0.72,0.93,0.87,1.02,0.46,0.97,0.82,0.65,1.02
d_1,0.67,0.72,2.89,0.43,0.5,0.61,1.0,0.93,0.42,1.92,1.17,1.08,1.01,1.2,1.09,0.87
c_1,0.59,0.63,0.66,2.91,1.2,0.48,0.9,0.79,0.77,0.28,0.75,1.01,0.83,0.88,1.07,0.85
b_1,0.58,0.59,0.77,0.76,3.1,1.24,0.76,0.98,0.85,0.7,0.4,0.95,0.91,0.68,0.99,0.85
a_1,0.62,0.75,0.75,0.64,0.56,4.78,1.01,0.87,0.85,0.98,0.94,1.18,1.06,0.43,0.92,1.07
h_1,0.65,1.08,0.86,0.79,0.74,0.84,2.64,1.51,0.8,1.01,1.13,1.06,0.73,1.12,1.11,1.55
g_1,0.64,0.74,1.33,0.77,0.56,0.69,1.11,3.35,0.88,1.1,1.16,1.84,1.1,1.06,1.52,0.86
d_0,0.71,0.81,0.42,1.52,0.93,0.67,1.21,1.22,2.03,0.81,1.09,1.15,1.13,1.15,1.06,1.09
c_0,0.78,0.94,0.9,0.6,0.62,0.67,1.28,1.17,1.05,2.11,2.23,1.17,1.29,1.59,1.47,1.24
b_0,0.88,0.89,0.9,0.81,0.43,0.65,1.18,1.3,1.1,1.11,2.38,0.96,1.26,2.73,1.17,1.33
f_0,0.63,0.59,1.16,0.79,0.76,0.83,1.17,1.21,1.08,1.23,1.31,2.62,1.37,1.17,2.58,1.31
h_0,0.77,1.16,0.8,0.8,0.83,0.56,0.66,1.51,1.18,1.14,1.03,1.1,0.69,0.92,1.12,1.72
a_0,0.86,0.89,0.96,0.71,0.71,0.52,1.04,1.28,0.93,1.33,1.17,0.98,1.4,3.29,1.39,1.32
e_0,0.45,0.99,0.75,0.78,0.86,0.8,1.45,1.16,1.1,1.27,1.47,0.97,1.48,1.26,3.18,1.23
g_0,0.82,0.7,1.23,0.81,0.7,0.7,1.15,0.95,0.98,0.97,1.12,1.62,1.13,1.37,1.36,0.84
