,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.66,1.41,0.84,1.7,1.52,1.35,0.71,0.71,0.57,0.47,0.59,0.61,0.55,0.85,0.56,0.5
d_1,1.52,0.66,1.52,1.33,1.41,1.22,0.63,0.45,0.73,0.51,0.51,0.45,0.39,0.47,0.46,0.27
f_1,1.85,1.27,0.65,1.45,1.21,1.11,0.47,0.72,0.61,0.49,0.46,0.67,0.28,0.43,0.43,0.47
c_1,1.15,1.86,1.5,0.64,1.93,1.21,0.76,0.62,0.35,0.74,0.48,0.5,0.49,0.46,0.51,0.38
b_1,1.54,1.57,2.02,0.88,0.62,2.03,0.72,0.77,0.61,0.76,1.07,0.53,0.49,0.6,0.45,0.52
a_1,1.97,1.82,2.11,1.89,0.94,0.58,0.87,0.78,0.61,0.71,0.75,0.73,0.49,0.6,1.29,0.54
h_1,2.16,2.06,2.38,2.31,2.09,1.87,0.57,1.12,0.81,0.79,0.74,0.84,1.03,0.81,0.77,0.62
g_1,2.11,2.29,2.62,2.16,2.09,2.08,0.78,0.58,0.91,0.82,0.87,0.95,0.51,0.73,0.78,0.85
d_0,1.54,3.97,2.37,2.73,2.14,2.49,1.18,1.13,0.64,0.97,0.75,0.8,0.69,0.74,0.72,0.72
c_0,2.63,1.53,2.59,4.39,2.31,2.16,1.12,1.12,1.14,0.62,1.02,0.9,0.71,0.84,0.86,0.81
b_0,2.51,2.07,2.56,3.1,3.55,2.02,1.26,1.12,1.23,0.63,0.6,1.01,0.72,0.81,0.89,0.79
f_0,2.04,2.41,5.23,2.59,2.44,2.39,1.13,0.76,1.0,0.93,0.92,0.6,0.8,1.01,0.73,0.54
h_0,2.52,2.58,3.68,2.62,2.4,2.51,1.54,1.45,0.96,0.95,0.95,0.89,1.19,0.86,0.8,0.71
e_0,3.23,2.83,4.18,3.24,2.96,2.14,1.12,1.2,1.03,1.04,1.03,0.62,0.85,0.56,0.94,0.61
a_0,2.58,2.64,2.97,3.76,4.95,3.42,1.42,1.49,1.39,0.88,0.58,1.22,0.96,0.87,0.56,0.74
g_0,2.95,3.28,3.16,3.55,2.79,2.69,1.03,1.52,1.05,1.17,1.11,1.04,0.8,1.04,0.97,1.25
