,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.56,1.45,1.03,1.61,1.31,1.29,4.28,12.1,4.65,5.51,7.54,7.03,5.66,9.09,2.52,9.76
f_1,2.26,5.89,1.32,1.17,1.09,0.96,4.07,4.9,4.29,6.38,6.05,2.18,6.27,9.41,4.69,7.56
d_1,1.34,1.29,6.39,1.02,1.17,1.16,5.27,2.5,4.98,12.05,7.23,6.81,6.78,10.12,9.02,10.2
c_1,1.18,1.27,1.22,6.6,2.37,1.48,4.58,5.8,3.78,1.9,4.83,6.06,5.67,9.73,6.36,10.76
b_1,1.01,1.33,1.54,1.34,7.6,2.48,4.29,6.11,4.79,4.97,1.58,6.57,4.81,8.8,8.1,7.09
a_1,1.39,1.41,1.04,1.63,1.31,11.19,5.21,4.76,4.67,5.97,7.33,6.81,2.22,8.23,6.28,7.24
h_1,1.66,2.29,1.65,1.43,1.49,1.37,15.7,6.45,6.21,6.1,6.96,7.1,8.24,5.99,7.62,14.62
d_0,1.47,1.56,0.77,3.15,1.55,1.57,5.26,15.58,6.34,5.56,9.0,7.94,7.26,12.15,6.59,10.01
g_1,1.32,1.14,2.58,1.61,1.38,1.26,6.17,6.51,20.56,8.93,7.66,12.74,8.52,12.0,9.15,7.81
c_0,1.54,1.8,1.92,0.98,1.01,1.23,6.82,7.83,6.77,16.44,15.87,8.88,8.99,12.07,8.69,13.18
b_0,1.46,1.97,1.52,1.69,0.75,1.31,7.01,7.63,7.18,7.14,18.02,8.67,16.13,11.87,8.82,12.35
f_0,1.08,0.8,2.1,2.02,1.51,1.71,6.64,8.16,6.6,8.48,9.13,19.73,10.07,13.03,19.41,14.74
a_0,1.86,1.48,1.63,1.9,1.58,0.83,7.18,7.26,5.77,6.74,6.84,7.94,23.44,12.21,8.42,9.41
h_0,1.64,2.35,1.76,1.56,1.48,1.32,3.13,7.23,8.18,7.56,7.16,8.07,7.7,6.7,7.66,17.35
e_0,0.66,1.77,2.04,1.71,1.71,2.19,6.25,6.79,6.82,9.55,9.92,8.42,8.26,13.16,24.22,12.18
g_0,1.44,1.3,2.61,1.56,1.85,1.16,6.1,6.01,3.23,6.12,8.32,12.8,7.49,11.51,8.99,6.57
