,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,29.45,36.93,26.66,33.57,39.47,7.15,12.37,6.95,6.39,7.17,,3.3,6.09,6.82,4.07
e_1,21.93,0.44,43.94,39.43,40.46,24.65,10.36,17.07,5.04,6.14,5.77,9.98,3.78,6.51,,4.4
c_1,30.83,36.63,0.43,40.64,31.05,51.04,11.05,9.17,4.26,,7.3,4.82,4.12,6.56,8.02,5.5
d_1,31.38,45.25,29.17,0.43,40.4,27.35,7.97,6.48,,6.98,8.78,6.85,5.7,7.15,7.54,2.98
b_1,38.05,33.0,24.26,31.36,0.4,50.89,8.47,9.17,8.84,10.21,,8.93,6.46,5.17,6.65,5.82
a_1,54.38,59.09,39.09,46.44,25.94,0.33,16.27,15.71,12.12,7.67,10.08,7.73,7.19,,7.99,5.58
h_1,17.74,16.01,16.97,19.43,16.83,15.19,0.38,4.85,3.58,3.11,4.32,3.28,,3.35,3.48,2.32
g_1,26.44,23.65,20.45,22.77,19.72,21.36,4.79,0.33,4.46,3.84,3.52,3.2,1.89,,4.7,
d_0,17.06,9.36,15.94,,15.49,14.98,4.03,4.74,0.5,3.77,3.59,2.29,1.96,4.15,2.61,2.0
c_0,16.34,15.88,,9.61,13.87,14.75,3.86,5.37,3.23,0.5,3.17,2.61,2.58,3.63,2.57,2.6
b_0,17.05,14.39,14.59,13.31,,17.43,5.11,4.11,4.5,1.85,0.47,6.67,2.22,2.61,3.33,3.91
f_0,,21.75,16.24,19.3,17.41,17.67,6.04,2.18,2.42,4.36,3.49,0.44,2.76,,3.17,2.27
h_0,9.79,16.42,11.7,11.0,17.33,15.18,,4.47,2.1,2.09,2.25,2.49,,2.72,2.34,1.49
a_0,18.99,20.98,30.79,20.32,16.07,,5.61,,5.96,4.26,2.18,,2.68,0.37,,3.08
e_0,28.21,,18.63,18.44,21.96,18.29,5.33,4.84,5.67,4.28,3.52,2.47,3.56,,0.37,2.44
g_0,16.44,14.39,14.39,23.47,12.8,17.99,2.33,,2.37,3.03,2.67,3.32,1.31,4.49,3.19,
