,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.17,0.33,0.33,0.36,0.33,0.31,0.08,0.07,0.1,0.07,0.11,0.07,0.04,0.08,0.06,0.07
e_1,0.24,0.17,0.42,0.36,0.38,0.35,0.1,0.08,0.11,0.07,0.1,0.07,0.06,0.1,0.08,0.06
c_1,0.36,0.3,0.15,0.47,0.32,0.28,0.09,0.05,0.11,0.1,0.07,0.07,0.05,0.06,0.07,0.05
d_1,0.36,0.39,0.37,0.14,0.35,0.31,0.1,0.11,0.06,0.07,0.07,0.07,0.05,0.06,0.06,0.03
b_1,0.39,0.37,0.21,0.4,0.12,0.32,0.11,0.07,0.12,0.1,0.07,0.11,0.06,0.07,0.08,0.05
a_1,0.43,0.39,0.31,0.38,0.18,0.1,0.12,0.08,0.12,0.09,0.07,0.1,0.06,0.08,0.11,0.05
h_1,0.36,0.32,0.33,0.29,0.31,0.32,0.05,0.07,0.08,0.06,0.06,0.07,0.06,0.06,0.06,0.05
d_0,0.32,0.22,0.38,0.47,0.29,0.27,0.11,0.05,0.11,0.08,0.08,0.09,0.05,0.07,0.07,0.06
g_1,0.37,0.32,0.34,0.28,0.34,0.33,0.07,0.07,0.04,0.06,0.06,0.06,0.04,0.06,0.07,0.05
c_0,0.36,0.32,0.5,0.19,0.41,0.35,0.1,0.09,0.09,0.05,0.06,0.08,0.05,0.07,0.07,0.04
f_0,0.47,0.32,0.35,0.29,0.31,0.3,0.09,0.07,0.06,0.06,0.04,0.07,0.04,0.06,0.07,0.03
b_0,0.34,0.32,0.51,0.23,0.46,0.29,0.09,0.07,0.07,0.04,0.06,0.04,0.04,0.06,0.06,0.04
h_0,0.35,0.31,0.33,0.3,0.31,0.29,0.12,0.07,0.08,0.06,0.06,0.06,0.05,0.05,0.06,0.04
e_0,0.41,0.37,0.35,0.27,0.31,0.28,0.1,0.07,0.07,0.06,0.03,0.06,0.04,0.03,0.06,0.03
a_0,0.35,0.33,0.39,0.3,0.34,0.3,0.11,0.07,0.08,0.05,0.06,0.04,0.05,0.06,0.03,0.04
g_0,0.39,0.34,0.31,0.32,0.28,0.29,0.07,0.06,0.1,0.06,0.06,0.06,0.04,0.05,0.05,0.05
