,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.93,0.16,0.09,0.09,0.1,0.06,0.08,0.07,0.07,0.06,0.08,,0.05,0.05,0.04,0.05
e_1,0.09,0.93,0.09,0.08,0.09,0.07,0.07,0.06,0.11,0.07,0.06,0.07,0.05,0.06,,0.06
d_1,0.13,0.09,0.93,0.07,0.09,0.07,0.07,0.12,,0.06,0.07,0.06,0.05,0.06,0.05,0.04
c_1,0.12,0.12,0.11,0.93,0.16,0.07,0.06,,0.07,0.07,0.05,0.07,0.06,0.06,0.05,0.04
b_1,0.12,0.12,0.11,0.06,0.93,0.12,0.07,0.07,0.09,0.08,,0.06,0.04,0.07,0.04,0.05
a_1,0.15,0.11,0.09,0.11,0.09,0.93,0.1,0.09,0.08,0.06,0.07,0.06,,0.06,0.06,0.06
h_1,0.32,0.33,0.21,0.29,0.21,0.15,0.71,0.22,0.2,0.17,0.17,0.19,0.14,,0.12,0.16
c_0,0.37,0.37,0.32,,0.31,0.22,0.2,0.57,0.18,0.23,0.35,0.16,0.15,0.22,0.16,0.16
d_0,0.37,0.36,,0.52,0.27,0.21,0.23,0.25,0.58,0.18,0.22,0.24,0.15,0.14,0.19,0.13
g_1,0.26,0.27,0.38,0.3,0.23,0.24,0.16,0.19,0.2,0.71,0.18,0.23,0.15,0.2,,
b_0,0.34,0.33,0.36,0.36,,0.24,0.27,0.22,0.22,0.24,0.58,0.19,0.29,0.17,0.12,0.17
f_0,,0.26,0.33,0.37,0.37,0.31,0.24,0.24,0.22,0.21,0.23,0.58,0.21,0.19,0.28,0.17
a_0,0.42,0.37,0.34,0.27,0.39,,0.34,0.29,0.29,0.24,0.17,0.14,0.57,0.27,0.21,
h_0,0.6,0.51,0.51,0.46,0.32,0.36,,0.36,0.42,0.23,0.36,0.26,0.19,,0.19,0.24
e_0,0.38,,0.35,0.36,0.47,0.24,0.36,0.25,0.17,,0.24,0.2,0.16,0.33,0.57,
g_0,0.39,0.45,0.69,0.61,0.39,0.33,0.41,0.35,0.35,,0.33,0.38,,0.23,,
