,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.36,0.67,0.83,0.79,0.79,0.75,1.64,1.72,2.02,2.55,1.68,1.66,1.51,2.24,0.85,2.11
f_1,1.25,2.44,0.69,0.87,0.66,0.73,1.35,1.24,1.52,1.69,0.79,1.61,1.57,1.79,1.28,2.01
d_1,0.68,0.77,2.47,0.64,0.84,0.89,1.51,1.46,2.61,1.08,1.7,1.71,1.55,1.72,2.16,1.75
c_1,0.8,0.65,0.79,2.65,1.25,0.74,1.64,1.29,0.43,1.43,1.82,1.43,1.72,1.96,1.63,1.94
b_1,0.73,0.91,0.71,0.65,2.76,1.13,1.69,1.45,1.6,1.63,1.89,0.89,1.38,2.44,1.41,2.07
a_1,0.93,0.75,0.69,0.67,0.64,3.26,1.52,1.44,1.7,1.8,1.75,1.63,0.96,2.4,2.09,2.01
h_1,0.84,1.36,1.0,1.01,0.87,0.97,3.81,2.61,2.12,2.25,2.13,2.56,2.76,1.89,2.39,3.95
g_1,0.85,1.06,1.33,1.28,1.0,0.86,1.24,4.08,2.04,1.63,2.92,2.44,2.26,2.71,1.53,2.23
c_0,0.83,1.21,1.08,,0.84,0.99,2.08,1.96,3.67,2.01,2.54,4.52,2.68,2.69,2.76,3.47
d_0,0.88,1.21,0.51,1.68,0.95,0.73,1.96,2.41,2.22,3.78,2.01,2.4,2.47,3.42,2.18,2.75
f_0,0.85,0.64,1.26,1.17,0.87,0.99,2.07,1.9,2.39,2.92,4.14,2.25,2.25,3.02,4.65,2.77
b_0,0.91,1.12,1.07,1.28,0.44,0.93,2.03,2.04,1.93,2.29,2.83,4.06,4.28,2.82,2.15,3.17
a_0,1.0,1.35,1.15,1.07,0.89,0.49,1.84,2.01,2.04,2.22,2.32,1.77,4.63,2.94,2.54,2.89
h_0,0.86,1.48,1.16,0.96,0.92,0.93,1.1,2.31,2.19,1.88,2.0,2.2,2.05,1.82,1.82,3.06
e_0,0.5,1.37,0.96,1.1,1.33,0.85,1.95,2.17,2.4,2.63,1.87,2.92,2.25,3.16,4.89,2.68
g_0,0.89,0.93,1.65,1.01,0.82,0.86,1.39,0.99,1.91,1.94,2.98,2.36,2.48,2.55,2.65,1.9
