,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.93,0.17,0.09,0.11,0.08,0.04,0.08,0.07,0.07,0.06,0.07,,0.06,0.03,0.03,0.04
e_1,0.09,0.93,0.11,0.1,0.08,0.08,0.08,0.09,0.06,0.08,0.04,0.05,0.05,0.04,,0.05
d_1,0.12,0.11,0.93,0.08,0.08,0.08,0.07,,0.05,0.12,0.06,0.05,0.06,0.06,0.05,0.04
c_1,0.12,0.11,0.11,0.93,0.12,0.08,0.08,0.07,0.04,,0.06,0.06,0.08,0.04,0.04,0.04
b_1,0.14,0.16,0.11,0.1,0.93,,0.08,0.08,0.07,0.06,,0.04,0.05,,,0.04
a_1,0.16,0.11,0.13,0.09,,0.93,0.06,0.1,,0.1,0.07,0.08,0.07,,,0.07
h_1,0.41,0.25,0.33,0.22,0.2,0.22,0.71,0.19,0.26,0.18,0.13,0.11,,0.1,0.13,0.18
d_0,0.47,0.39,,0.59,0.24,0.17,0.23,0.58,0.15,0.2,0.18,0.15,0.19,0.14,0.14,0.2
g_1,0.27,0.26,0.4,0.36,0.28,,0.13,0.22,0.71,0.19,0.2,0.22,0.15,0.12,0.14,
c_0,0.41,0.31,0.26,,0.32,0.16,0.3,0.2,0.2,0.59,0.29,0.16,0.23,0.15,0.16,0.22
b_0,0.27,0.5,0.39,0.31,,0.2,0.32,0.24,0.25,0.22,0.56,0.23,0.23,0.26,0.19,0.13
f_0,,0.4,0.45,0.33,0.51,0.21,0.28,0.3,0.2,0.26,0.21,0.55,0.21,0.14,0.29,0.14
h_0,0.63,0.55,0.4,0.34,0.47,0.39,,0.37,0.28,0.31,0.29,0.22,,0.25,0.24,0.24
a_0,0.52,0.34,0.38,0.42,,,0.41,0.27,0.28,0.27,0.18,0.24,0.18,0.57,,0.19
e_0,0.47,,0.39,0.33,,,0.35,0.37,0.27,0.28,0.2,0.2,0.22,,0.57,
g_0,0.53,0.45,0.83,0.56,0.65,0.29,0.29,0.28,,0.22,0.35,0.39,0.23,0.25,,
