,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.16,0.55,0.27,0.49,0.44,0.4,0.14,0.11,0.1,0.17,0.11,0.11,0.06,0.07,0.19,0.11
d_1,0.55,0.16,0.52,0.51,0.42,0.41,0.12,0.19,0.08,0.08,0.09,0.07,0.06,0.04,0.08,0.08
f_1,0.43,0.45,0.16,0.46,0.42,0.41,0.1,0.09,0.09,0.16,0.09,0.16,0.05,0.08,0.09,0.09
c_1,0.36,0.59,0.4,0.16,0.47,0.42,0.13,0.06,0.13,0.12,0.1,0.09,0.07,0.06,0.09,0.07
b_1,0.44,0.51,0.54,0.23,0.13,0.58,0.14,0.09,0.12,0.12,0.15,0.09,0.08,0.07,0.09,0.08
a_1,0.52,0.49,0.47,0.52,0.23,0.09,0.13,0.11,0.09,0.15,0.12,0.1,0.07,0.07,0.08,0.12
h_1,0.38,0.43,0.48,0.4,0.38,0.32,0.06,0.08,0.08,0.12,0.08,0.07,0.07,0.05,0.07,0.08
d_0,0.22,0.58,0.4,0.5,0.42,0.36,0.13,0.06,0.09,0.14,0.1,0.08,0.06,0.06,0.1,0.07
c_0,0.45,0.23,0.5,0.6,0.45,0.36,0.12,0.14,0.05,0.11,0.08,0.08,0.06,0.05,0.08,0.08
g_1,0.39,0.41,0.45,0.42,0.39,0.35,0.08,0.09,0.1,0.05,0.1,0.07,0.04,0.06,0.08,0.07
b_0,0.39,0.32,0.5,0.55,0.57,0.33,0.11,0.09,0.05,0.11,0.05,0.07,0.06,0.06,0.07,0.06
f_0,0.38,0.37,0.68,0.44,0.4,0.31,0.12,0.1,0.08,0.07,0.08,0.05,0.05,0.04,0.07,0.07
h_0,0.39,0.37,0.38,0.42,0.38,0.36,0.15,0.1,0.08,0.12,0.08,0.08,0.08,0.06,0.06,0.07
g_0,0.35,0.4,0.47,0.46,0.39,0.38,0.08,0.1,0.08,0.13,0.07,0.07,0.04,0.08,0.07,0.07
e_0,0.68,0.29,0.51,0.43,0.42,0.3,0.11,0.11,0.08,0.08,0.09,0.05,0.06,0.06,0.03,0.06
a_0,0.37,0.31,0.5,0.48,0.5,0.55,0.12,0.08,0.07,0.11,0.05,0.08,0.06,0.06,0.07,0.03
