,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.91,0.53,0.28,0.31,0.25,0.14,0.26,0.19,0.27,0.28,0.26,0.15,0.28,0.17,0.12,0.22
e_1,0.35,0.9,0.39,0.26,0.26,0.17,0.3,0.23,0.51,0.27,0.28,0.22,0.28,0.18,0.11,0.25
c_1,0.32,0.28,0.9,0.33,0.46,0.18,0.28,0.23,0.27,0.13,0.18,0.23,0.3,0.17,0.18,0.24
d_1,0.36,0.32,0.24,0.91,0.27,0.17,0.3,0.22,0.17,0.5,0.32,0.24,0.29,0.23,0.19,0.24
b_1,0.34,0.3,0.33,0.27,0.89,0.37,0.3,0.23,0.28,0.27,0.14,0.23,0.24,0.17,0.19,0.23
a_1,0.37,0.35,0.3,0.36,0.25,0.88,0.31,0.23,0.27,0.3,0.26,0.23,0.28,0.13,0.17,0.18
h_1,0.47,0.33,0.33,0.39,0.29,0.17,0.61,0.33,0.28,0.31,0.26,0.23,0.23,0.2,0.19,0.38
g_1,0.34,0.25,0.35,0.55,0.26,0.2,0.29,0.59,0.27,0.3,0.27,0.4,0.31,0.23,0.26,0.22
d_0,0.34,0.33,0.65,0.23,0.33,0.19,0.3,0.24,0.47,0.19,0.27,0.25,0.33,0.16,0.2,0.3
c_0,0.45,0.35,0.28,0.38,0.22,0.23,0.36,0.24,0.3,0.48,0.53,0.26,0.34,0.25,0.21,0.24
b_0,0.45,0.36,0.39,0.37,0.18,0.19,0.33,0.26,0.29,0.32,0.5,0.23,0.37,0.41,0.19,0.28
f_0,0.31,0.29,0.42,0.34,0.29,0.24,0.39,0.28,0.36,0.31,0.24,0.49,0.36,0.15,0.43,0.3
h_0,0.5,0.38,0.34,0.36,0.28,0.19,0.19,0.34,0.28,0.29,0.26,0.28,0.27,0.22,0.16,0.36
a_0,0.4,0.4,0.35,0.35,0.3,0.18,0.34,0.2,0.23,0.32,0.3,0.23,0.35,0.45,0.15,0.27
e_0,0.43,0.24,0.36,0.32,0.34,0.23,0.34,0.31,0.33,0.26,0.28,0.32,0.38,0.2,0.43,0.31
g_0,0.34,0.3,0.35,0.5,0.31,0.2,0.3,0.24,0.25,0.33,0.26,0.38,0.34,0.2,0.22,0.19
