,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.62,0.42,0.39,0.4,0.38,0.36,0.76,0.75,0.56,1.7,0.76,0.72,1.0,0.75,0.19,0.92
f_1,0.74,3.84,0.42,0.35,0.32,0.41,0.65,0.75,0.46,0.69,0.82,0.1,0.8,0.72,0.61,0.79
d_1,0.34,0.4,4.05,0.41,0.35,0.45,0.77,1.54,0.81,0.19,0.72,0.81,0.9,0.76,0.92,0.7
c_1,0.42,0.39,0.37,4.75,0.73,0.31,0.67,0.13,0.82,0.69,0.64,0.93,0.82,0.66,0.77,0.97
b_1,0.36,0.41,0.41,0.41,5.44,0.73,0.84,0.66,0.58,0.74,0.13,0.87,0.96,0.69,0.72,0.79
a_1,0.43,0.33,0.38,0.41,0.33,6.65,0.8,0.74,0.82,0.55,0.91,1.05,0.81,0.33,0.97,0.86
h_1,0.54,1.0,0.64,0.69,0.57,0.55,5.08,1.26,1.91,1.32,1.59,1.62,0.66,1.25,1.74,1.77
c_0,0.72,0.72,0.74,0.2,0.59,0.64,1.75,3.76,1.66,1.4,3.21,1.72,1.79,2.12,1.9,1.83
g_1,0.46,0.62,1.0,0.58,0.98,0.79,1.23,1.29,6.51,1.16,1.55,1.94,1.19,1.14,1.23,0.42
d_0,0.62,0.85,0.25,1.47,0.63,0.54,1.04,1.27,1.38,3.67,1.58,1.46,1.77,1.36,1.37,2.01
b_0,0.62,0.79,0.86,0.66,0.43,0.42,1.31,1.69,1.45,1.38,4.18,1.83,1.24,3.56,1.77,1.65
f_0,0.54,0.24,0.76,0.81,0.75,0.88,1.43,1.62,1.62,1.75,1.38,4.65,1.57,1.66,3.18,1.66
h_0,0.71,0.98,0.71,0.73,0.74,0.43,0.57,1.1,1.72,1.12,1.55,1.4,0.4,1.17,1.34,1.73
a_0,0.74,0.8,0.81,0.82,0.71,,1.19,1.54,1.12,1.66,1.48,1.26,1.85,5.87,1.72,1.49
e_0,0.22,0.87,0.66,0.68,0.59,0.8,1.83,1.65,1.83,1.46,1.85,1.73,2.09,1.84,6.58,1.71
g_0,0.57,0.72,1.07,0.71,0.61,0.41,0.97,1.39,0.6,1.41,1.67,2.0,1.53,1.52,1.69,0.8
