,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.94,0.23,0.27,0.31,0.3,0.17,0.18,0.17,0.29,0.2,0.18,0.16,0.15,0.06,0.16,0.12
f_1,0.48,0.94,0.26,0.26,0.24,0.16,0.2,0.16,0.16,0.18,0.09,0.17,0.18,0.11,0.11,0.12
d_1,0.28,0.35,0.94,0.24,0.24,0.17,0.19,0.14,0.12,0.28,0.17,0.2,0.16,0.14,0.16,0.14
c_1,0.24,0.32,0.29,0.94,0.39,0.22,0.17,0.16,0.17,0.06,0.18,0.13,0.16,0.12,0.14,0.12
b_1,0.29,0.34,0.33,0.26,0.93,0.31,0.18,0.19,0.19,0.18,0.14,0.08,0.21,0.13,0.13,0.12
a_1,0.36,0.35,0.34,0.29,0.25,0.93,0.24,0.22,0.21,0.22,0.21,0.19,0.17,0.13,0.17,0.09
h_1,0.57,0.67,0.55,0.57,0.45,0.37,0.72,0.34,0.32,0.31,0.3,0.3,0.14,0.17,0.33,0.2
g_1,0.46,0.48,0.8,0.65,0.47,0.28,0.4,0.73,0.31,0.29,0.44,0.33,0.3,0.24,0.19,0.22
d_0,0.51,0.63,0.23,0.95,0.53,0.34,0.39,0.38,0.6,0.3,0.43,0.27,0.31,0.24,0.28,0.18
c_0,0.59,0.61,0.61,0.45,0.49,0.35,0.44,0.46,0.38,0.6,0.47,0.61,0.34,0.29,0.31,0.3
f_0,0.56,0.33,0.66,0.71,0.65,0.39,0.4,0.33,0.35,0.33,0.62,0.31,0.3,0.53,0.26,0.24
b_0,0.68,0.58,0.54,0.72,0.37,0.42,0.4,0.4,0.42,0.27,0.45,0.62,0.39,0.26,0.34,0.43
h_0,0.72,0.8,0.66,0.69,0.45,0.39,0.29,0.5,0.37,0.34,0.41,0.34,0.27,0.25,0.45,0.24
e_0,0.35,0.75,0.64,0.83,0.61,0.45,0.57,0.47,0.48,0.43,0.29,0.36,0.42,0.62,0.3,0.28
g_0,0.54,0.74,0.87,0.67,0.56,0.5,0.45,0.28,0.36,0.4,0.55,0.3,0.29,0.3,0.25,0.24
a_0,0.62,0.76,0.71,0.75,0.43,0.37,0.58,0.47,0.42,0.41,0.41,0.37,0.44,0.34,0.39,0.58
