,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,21.97,0.76,0.33,0.32,0.24,0.39,0.75,0.72,0.7,0.7,0.74,0.11,0.81,0.79,0.79,0.57
e_1,0.33,24.12,0.39,0.27,0.37,0.34,0.77,0.65,1.55,0.95,0.73,0.87,0.75,0.74,0.77,0.26
c_1,0.31,0.31,25.75,0.3,0.87,0.31,0.76,0.68,0.73,0.16,0.53,0.86,0.94,0.65,0.69,0.79
d_1,0.42,0.27,0.28,28.42,0.31,0.34,0.77,0.67,0.17,1.65,0.92,0.9,0.83,0.88,1.12,0.75
b_1,0.32,0.26,0.37,0.31,33.06,0.8,0.78,0.71,0.87,0.75,0.17,0.65,0.94,0.49,1.03,0.78
a_1,0.49,0.39,0.36,0.28,0.28,49.55,0.68,0.71,0.88,0.81,0.56,0.58,0.99,0.19,0.57,0.55
h_1,1.11,0.54,0.41,0.81,0.53,0.49,10.23,1.32,1.28,1.26,1.6,1.3,0.6,1.31,1.74,1.46
g_1,0.45,0.6,0.64,1.33,0.46,0.53,1.02,11.8,1.17,1.21,1.69,2.68,1.43,1.77,0.49,1.82
d_0,0.54,0.5,1.66,0.23,0.56,0.45,1.42,1.36,5.22,1.3,1.55,2.17,2.04,1.99,1.64,2.08
c_0,0.82,0.53,0.27,0.89,0.44,0.68,1.12,1.45,1.7,5.92,4.61,1.73,1.68,1.81,2.28,2.09
b_0,0.62,0.6,0.55,1.03,0.14,0.73,1.51,1.69,1.26,1.18,6.92,1.9,1.84,3.4,1.75,2.35
f_0,0.25,0.44,0.8,0.98,0.54,0.38,1.32,1.79,1.91,1.76,2.08,8.22,2.59,2.38,2.13,4.45
h_0,0.88,0.5,0.85,0.78,0.54,0.44,0.33,2.04,1.28,1.42,1.96,1.41,0.55,1.72,1.87,1.5
a_0,0.7,0.7,0.8,0.66,0.47,,1.63,1.61,1.33,1.17,2.04,2.22,1.59,9.45,1.69,1.82
g_0,0.58,0.4,0.55,1.45,0.62,0.5,1.28,0.59,1.01,0.94,2.48,2.64,1.67,1.61,0.67,1.53
e_0,0.71,0.14,0.92,0.79,0.89,0.57,0.9,1.31,1.83,1.67,2.38,2.17,2.15,1.16,2.11,12.1
