,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.11,0.99,0.86,0.88,0.94,0.71,0.5,0.52,0.9,0.66,0.6,0.52,0.65,0.52,0.47
e_1,0.9,1.0,0.72,1.04,0.96,0.88,0.79,0.9,0.76,0.66,0.72,0.71,0.65,0.58,0.91,0.62
f_1,1.01,1.38,1.0,0.98,0.85,1.07,0.56,0.66,0.81,0.59,0.51,0.59,0.42,0.52,0.43,0.49
c_1,1.16,0.96,1.02,1.0,1.24,0.84,0.63,0.47,0.67,0.68,0.59,0.54,0.73,0.54,0.5,0.77
b_1,1.14,1.04,1.18,0.81,1.0,1.19,0.84,0.59,0.65,0.78,0.59,0.58,0.63,0.59,0.65,0.69
a_1,1.07,1.14,0.93,1.2,0.84,1.0,1.0,0.82,0.83,0.86,0.83,0.83,0.86,0.76,0.85,0.68
h_1,1.37,1.24,1.84,1.59,1.16,0.95,1.0,0.94,1.33,0.85,0.86,0.87,1.06,0.75,0.79,0.9
d_0,1.91,1.06,1.54,2.2,1.61,1.19,1.05,1.0,0.8,0.81,0.88,0.87,0.89,0.7,0.76,0.96
g_1,1.92,1.3,1.3,1.47,1.56,1.12,0.77,1.22,1.0,0.96,1.1,1.01,0.85,1.19,1.04,0.61
c_0,1.09,1.53,1.76,1.44,1.32,1.04,1.28,1.26,1.01,1.0,1.11,1.61,1.15,0.94,1.04,1.16
f_0,1.49,1.42,2.01,1.74,1.65,1.24,1.15,1.08,0.99,0.92,1.0,1.02,1.11,0.81,1.2,0.67
b_0,1.66,1.37,1.72,2.04,1.56,1.17,1.11,1.2,0.94,0.68,1.03,1.0,1.07,1.4,0.98,0.79
h_0,1.9,1.48,2.43,1.4,1.63,1.08,0.9,1.1,1.16,0.83,0.9,0.95,1.0,0.94,0.87,0.97
a_0,1.61,1.66,2.0,1.88,1.59,,1.39,1.32,0.81,1.08,1.3,0.73,1.13,1.0,1.17,0.94
e_0,1.81,1.1,2.33,2.01,1.56,1.19,1.29,1.35,0.89,1.01,0.78,1.09,1.07,0.86,1.0,1.1
g_0,2.09,1.51,2.17,1.45,1.43,1.41,1.13,1.05,1.65,0.93,1.48,1.23,1.02,1.11,0.92,1.0
