,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.96,0.58,0.73,0.52,0.56,0.38,0.41,0.6,0.37,0.35,0.4,0.37,0.32,0.36,0.25,0.3
f_1,0.91,0.96,0.64,0.5,0.52,0.36,0.38,0.46,0.38,0.32,0.38,0.28,0.28,0.31,0.19,0.3
c_1,0.57,0.6,0.96,0.63,0.84,0.47,0.43,0.36,0.32,0.36,0.29,0.34,0.25,0.32,0.26,0.28
d_1,0.66,0.77,0.55,0.96,0.56,0.39,0.44,0.37,0.59,0.36,0.4,0.36,0.33,0.35,0.24,0.28
b_1,0.66,0.66,0.58,0.66,0.95,0.66,0.49,0.42,0.42,0.36,0.34,0.37,0.27,0.37,0.24,0.32
a_1,0.73,0.81,0.72,0.76,0.58,0.95,0.52,0.45,0.51,0.46,0.44,0.42,0.3,0.46,0.32,0.36
h_1,0.96,1.09,0.85,1.02,0.74,0.57,0.81,0.52,0.58,0.64,0.54,0.47,0.42,0.46,0.38,0.51
d_0,0.86,0.94,1.39,0.8,0.93,0.6,0.67,0.75,0.51,0.58,0.57,0.52,0.45,0.56,0.41,0.42
c_0,1.0,0.98,0.94,0.95,0.8,0.64,0.67,0.67,0.77,0.62,0.86,0.58,0.58,0.58,0.47,0.5
g_1,0.98,1.04,0.92,1.22,0.83,0.6,0.63,0.57,0.64,0.8,0.57,0.71,0.42,0.53,0.44,0.4
b_0,1.03,1.06,1.09,1.03,0.82,0.65,0.72,0.65,0.58,0.66,0.73,0.55,0.74,0.56,0.47,0.49
f_0,0.92,1.01,1.06,1.03,0.92,0.69,0.77,0.72,0.74,0.56,0.68,0.75,0.55,0.57,0.75,0.42
a_0,1.11,1.25,1.32,1.04,0.99,0.54,0.77,0.77,0.67,0.7,0.58,0.63,0.69,0.63,0.48,0.54
h_0,1.09,1.38,1.17,1.1,0.88,0.72,0.65,0.71,0.62,0.77,0.68,0.62,0.46,0.54,0.42,0.62
e_0,0.92,1.27,1.4,1.24,1.19,0.79,0.77,0.76,0.62,0.66,0.68,0.54,0.48,0.71,0.69,0.56
g_0,1.11,1.07,1.1,1.48,1.01,0.77,0.75,0.75,0.78,0.63,0.74,0.83,0.53,0.59,0.51,0.51
