,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.88,0.09,0.07,0.06,0.07,0.06,0.07,0.06,0.03,0.15,0.08,0.07,0.09,0.05,0.07,0.05
f_1,0.08,0.88,0.16,0.08,0.06,0.04,0.07,0.06,0.08,0.07,0.07,0.02,0.08,0.05,0.07,0.02
e_1,0.09,0.09,0.88,0.08,0.07,0.05,0.08,0.05,0.14,0.08,0.08,0.06,0.06,0.05,0.05,0.01
c_1,0.08,0.08,0.08,0.88,0.12,0.04,0.09,0.08,0.09,0.01,0.05,0.07,0.07,0.04,0.06,0.05
b_1,0.11,0.08,0.09,0.08,0.87,0.08,0.06,0.06,0.08,0.07,0.02,0.08,0.07,0.05,0.07,0.04
a_1,0.1,0.09,0.08,0.07,0.06,0.87,0.09,0.08,0.08,0.08,0.08,0.07,0.06,0.01,0.06,0.04
h_1,0.16,0.23,0.13,0.13,0.11,0.07,0.52,0.17,0.13,0.11,0.11,0.1,0.06,0.1,0.12,0.08
g_1,0.26,0.13,0.13,0.15,0.11,0.05,0.1,0.52,0.12,0.14,0.13,0.14,0.12,0.08,0.02,0.07
d_0,0.07,0.17,0.16,0.24,0.11,0.07,0.15,0.1,0.38,0.11,0.15,0.1,0.14,0.07,0.1,0.11
c_0,0.16,0.18,0.15,0.07,0.12,0.1,0.15,0.11,0.16,0.37,0.27,0.12,0.18,0.11,0.09,0.11
b_0,0.19,0.21,0.14,0.15,0.04,0.07,0.15,0.12,0.14,0.16,0.4,0.1,0.16,0.17,0.13,0.06
f_0,0.21,0.07,0.13,0.11,0.12,0.09,0.16,0.11,0.17,0.16,0.14,0.38,0.12,0.12,0.12,0.21
h_0,0.17,0.27,0.14,0.1,0.12,0.07,0.05,0.12,0.12,0.15,0.13,0.11,0.05,0.09,0.13,0.06
a_0,0.14,0.2,0.19,0.16,0.08,,0.12,0.1,0.2,0.17,0.15,0.13,0.16,0.34,0.12,0.06
g_0,0.26,0.12,0.16,0.13,0.09,0.06,0.12,,0.12,0.13,0.14,0.17,0.12,0.09,0.05,0.09
e_0,0.22,0.19,0.08,0.14,0.14,0.06,0.15,0.11,0.13,0.14,0.18,0.12,0.2,0.07,0.13,0.35
