,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,37.85,0.11,0.06,0.06,0.08,0.06,0.33,0.37,0.34,0.26,0.43,,0.34,0.46,0.35,0.47
e_1,0.06,37.95,0.06,0.05,0.07,0.06,0.28,0.31,0.7,0.3,0.33,0.39,0.35,0.63,,0.65
d_1,0.08,0.05,42.91,0.05,0.06,0.06,0.24,0.75,,0.3,0.43,0.4,0.33,0.62,0.35,0.56
c_1,0.07,0.07,0.06,44.11,0.12,0.06,0.2,,0.45,0.32,0.27,0.45,0.37,0.57,0.38,0.48
b_1,0.08,0.07,0.07,0.04,47.67,0.13,0.23,0.33,0.47,0.35,,0.35,0.27,0.57,0.28,0.54
a_1,0.08,0.05,0.05,0.07,0.07,67.28,0.35,0.39,0.33,0.22,0.34,0.34,,0.59,0.41,0.64
h_1,0.31,0.31,0.17,0.27,0.19,0.2,27.37,1.61,1.48,0.98,1.41,1.7,1.8,,1.57,2.96
c_0,0.37,0.35,0.43,,0.35,0.32,1.19,15.82,1.3,1.66,3.8,1.38,1.8,3.92,1.94,2.76
d_0,0.35,0.44,,0.75,0.31,0.29,1.39,1.85,17.05,1.19,1.88,2.4,1.68,1.99,2.18,2.07
g_1,0.2,0.22,0.39,0.29,0.23,0.29,0.73,1.31,1.29,33.48,1.33,2.22,1.61,2.64,0.99,
b_0,0.33,0.29,0.41,0.36,,0.34,1.69,2.06,1.72,1.73,17.99,1.67,3.76,2.54,1.35,3.05
f_0,,0.21,0.33,0.42,0.41,0.46,1.44,1.64,1.75,1.56,1.74,20.82,2.13,2.63,4.35,3.16
a_0,0.36,0.3,0.3,0.23,0.37,,2.26,2.07,2.13,1.63,1.38,1.09,26.43,3.91,2.37,2.72
h_0,0.65,0.58,0.65,0.54,0.36,0.6,,3.68,3.77,1.75,3.42,2.54,2.56,,3.05,4.09
e_0,0.3,,0.31,0.33,0.46,0.3,2.24,1.69,1.07,,1.56,2.06,1.61,5.34,30.03,4.5
g_0,0.33,0.45,0.92,0.74,0.44,0.52,3.19,2.95,2.68,,3.01,4.42,,3.33,,
