,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.41,0.92,0.76,0.82,0.72,0.69,0.36,0.36,0.55,0.31,0.47,0.35,0.34,0.26,0.36,0.36
e_1,0.54,0.41,0.69,1.02,0.97,0.83,0.46,0.47,0.47,0.4,0.43,0.39,0.36,0.35,0.5,0.32
d_1,0.81,1.0,0.39,0.78,0.73,0.81,0.42,0.52,0.28,0.43,0.35,0.34,0.3,0.27,0.35,0.21
c_1,0.81,0.65,1.02,0.39,0.98,0.79,0.43,0.22,0.47,0.5,0.33,0.34,0.36,0.28,0.34,0.3
b_1,0.95,0.73,0.99,0.51,0.37,0.94,0.46,0.39,0.45,0.43,0.42,0.45,0.37,0.35,0.35,0.39
a_1,1.0,0.78,0.76,0.84,0.5,0.3,0.52,0.47,0.45,0.39,0.37,0.61,0.96,0.33,0.32,0.33
h_1,0.82,0.7,0.65,0.76,0.74,0.63,0.25,0.32,0.42,0.29,0.31,0.29,0.29,0.36,0.3,0.28
d_0,0.78,0.44,0.88,0.92,0.8,0.64,0.42,0.25,0.42,0.33,0.32,0.36,0.32,0.29,0.32,0.33
g_1,0.69,0.7,0.87,0.68,0.75,0.67,0.3,0.36,0.22,0.29,0.32,0.36,0.28,0.24,0.35,0.34
c_0,0.81,0.71,0.45,1.06,0.8,0.65,0.4,0.4,0.45,0.25,0.31,0.41,0.36,0.3,0.33,0.3
f_0,1.03,0.64,0.72,0.73,0.65,0.66,0.44,0.37,0.33,0.29,0.23,0.36,0.3,0.28,0.42,0.17
b_0,0.75,0.68,0.64,0.99,1.13,0.55,0.4,0.32,0.37,0.19,0.29,0.22,0.42,0.3,0.32,0.28
a_0,0.9,0.67,0.76,0.78,0.9,0.73,0.39,0.36,0.37,0.25,0.28,0.18,0.21,0.3,0.31,0.25
h_0,0.72,0.68,0.75,0.76,0.67,0.67,0.42,0.33,0.42,0.3,0.31,0.31,0.3,0.38,0.31,0.3
e_0,0.96,0.92,0.66,0.69,0.7,0.79,0.42,0.29,0.38,0.3,0.19,0.32,0.31,0.26,0.2,0.23
g_0,0.72,0.72,0.76,0.73,0.64,0.77,0.31,0.29,0.44,0.29,0.4,0.34,0.3,0.23,0.31,0.33
