,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.85,2.27,1.26,1.31,1.14,1.01,4.16,3.73,5.46,5.95,6.45,2.71,9.79,6.33,4.12,8.52
e_1,1.45,6.01,1.57,1.03,1.27,1.1,4.67,4.74,11.9,6.68,6.95,6.15,8.42,6.65,2.6,10.21
c_1,1.25,1.0,6.41,1.52,2.27,1.23,4.3,4.61,6.2,1.64,5.27,6.18,9.77,5.64,7.24,8.85
d_1,1.46,1.16,1.09,6.5,1.42,1.28,5.01,4.93,2.26,11.78,7.94,6.61,9.89,6.49,6.58,7.73
b_1,1.28,1.12,1.35,1.26,7.42,2.5,4.87,4.91,6.49,6.25,1.7,6.67,8.0,5.93,7.39,9.57
a_1,1.27,1.59,1.13,1.68,1.1,10.91,4.97,4.65,5.17,6.13,6.13,6.4,8.0,1.84,6.36,6.54
h_1,2.04,1.39,1.62,1.81,1.51,1.2,15.73,7.48,6.9,7.24,7.08,6.54,6.38,6.99,8.42,16.31
g_1,1.31,0.92,1.63,2.5,1.55,1.61,5.85,19.8,6.57,7.29,8.16,13.82,9.93,9.05,10.8,7.51
d_0,1.44,1.52,3.05,0.8,1.43,1.63,5.72,4.94,15.08,5.46,8.0,8.14,11.86,6.45,8.15,12.43
c_0,2.01,1.6,0.95,1.87,1.18,1.84,6.57,5.03,7.74,14.9,15.0,7.87,11.5,9.68,9.24,10.74
b_0,1.94,1.77,1.77,1.68,0.76,1.38,5.42,6.2,7.02,8.25,17.65,6.98,14.62,16.49,9.29,13.76
f_0,0.86,1.13,2.07,1.55,1.58,2.02,6.87,6.25,8.72,9.06,6.41,19.87,13.27,5.92,20.92,13.81
h_0,2.34,1.58,1.76,1.69,1.49,1.5,2.64,8.09,6.84,6.33,7.41,7.17,7.72,8.62,7.11,16.59
a_0,1.81,1.88,1.78,1.77,1.87,1.01,5.97,3.99,5.8,6.83,7.88,6.83,11.63,23.15,4.67,12.16
e_0,1.83,0.74,1.58,1.34,1.63,1.9,6.37,7.36,9.17,6.93,7.34,9.45,15.59,8.7,25.84,12.16
g_0,1.48,1.49,1.82,2.49,1.31,1.48,5.25,4.77,6.74,7.27,6.4,10.42,13.46,7.83,9.39,7.05
