,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.2,1.32,0.44,0.53,0.48,0.45,0.93,0.76,0.69,0.72,0.94,0.43,0.97,0.82,0.62,0.88
e_1,0.63,15.83,0.81,0.41,0.56,0.54,0.86,2.01,0.83,0.88,0.95,0.97,0.86,0.86,0.47,1.02
c_1,0.47,0.45,17.34,0.48,1.4,0.65,0.84,0.8,0.76,0.25,0.61,0.9,0.91,1.02,1.04,0.93
d_1,0.67,0.43,0.43,21.35,0.48,0.49,0.92,0.47,0.98,2.55,1.4,0.91,1.11,1.1,1.15,1.03
b_1,0.55,0.47,0.6,0.46,19.85,1.42,0.94,0.86,0.77,0.74,0.33,1.12,0.86,0.74,1.03,0.79
a_1,0.55,0.59,0.61,0.74,0.48,30.26,0.83,0.93,1.22,0.85,0.7,1.06,1.07,0.43,0.85,0.75
h_1,1.19,0.75,0.69,0.91,0.49,0.52,5.21,0.85,1.51,1.1,1.13,0.98,0.65,1.12,1.2,1.75
d_0,0.79,0.67,1.79,0.4,0.71,0.71,1.12,2.82,1.09,0.83,1.39,0.91,1.03,1.06,1.15,1.21
g_1,0.58,0.49,0.7,1.83,0.63,0.59,0.91,0.98,6.16,1.25,1.28,2.46,0.96,1.03,1.53,0.71
c_0,0.85,0.63,0.52,1.01,0.49,0.7,1.13,1.48,1.4,3.61,3.52,1.18,1.71,1.46,1.24,1.35
b_0,0.82,0.82,0.83,0.89,0.31,0.4,1.23,1.38,1.46,1.59,4.49,1.4,1.55,3.28,1.05,1.49
f_0,0.4,0.6,0.87,1.07,0.69,0.69,1.15,1.11,1.24,1.16,1.18,4.06,1.58,1.25,3.38,1.43
h_0,1.2,0.75,0.65,0.98,0.66,0.62,0.64,0.88,1.56,1.12,1.05,1.15,0.71,1.12,1.27,1.74
a_0,0.78,0.78,0.89,0.87,0.63,0.32,1.33,0.89,1.22,1.18,1.34,1.35,1.27,4.18,1.7,1.3
e_0,0.76,0.27,0.86,1.23,0.88,0.66,1.25,1.18,1.11,1.12,1.58,1.19,1.46,1.41,4.8,1.45
g_0,0.75,0.5,0.77,1.46,0.68,0.9,0.92,0.78,0.67,1.07,1.14,1.93,1.37,1.36,1.3,0.76
