,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,11.43,0.65,0.57,0.89,0.67,0.72,0.95,0.87,2.16,0.7,1.03,0.95,1.01,1.1,0.76,0.99
f_1,1.72,12.47,0.52,0.64,0.49,0.59,0.85,0.73,0.91,0.86,0.55,0.99,0.89,0.74,0.64,0.94
d_1,0.53,0.73,16.72,0.47,0.51,0.58,0.99,0.97,0.4,2.58,1.02,1.47,1.11,1.21,1.1,1.16
c_1,0.56,0.62,0.51,13.5,1.88,0.62,0.88,0.87,0.8,0.37,0.89,0.54,0.92,0.86,0.95,0.8
b_1,0.49,0.6,0.67,0.62,16.26,1.64,0.81,1.02,0.98,0.77,0.98,0.49,0.89,0.68,0.88,0.76
a_1,0.64,0.58,0.87,0.89,0.62,21.46,1.14,0.87,1.05,1.02,0.98,0.9,0.96,0.57,0.93,0.9
h_1,0.61,1.25,0.91,0.71,0.52,0.66,4.18,2.02,0.99,0.99,1.08,1.05,0.82,1.03,1.16,1.53
g_1,0.57,0.7,1.73,0.67,0.67,0.66,0.96,4.63,0.74,1.2,2.07,0.92,1.05,1.22,1.51,1.01
d_0,0.75,0.86,0.4,2.31,0.89,0.59,0.95,0.84,2.03,0.58,0.92,0.98,1.22,1.19,1.06,0.91
c_0,0.7,0.91,0.97,0.56,0.42,0.8,1.19,0.97,1.15,2.76,1.38,3.42,1.3,1.34,1.29,1.4
f_0,0.55,0.59,1.07,0.86,0.78,0.79,1.19,1.19,1.22,1.17,3.34,1.44,1.13,1.09,3.85,1.39
b_0,0.76,0.96,0.82,0.82,0.44,0.58,0.97,1.13,1.13,1.15,1.24,2.93,1.26,3.38,1.1,1.32
h_0,0.72,1.41,1.11,0.62,0.68,0.62,0.64,1.65,0.7,1.29,1.0,1.04,0.83,1.08,0.94,1.56
a_0,0.64,0.86,0.87,0.83,0.76,0.6,1.26,1.15,0.98,1.25,1.04,1.32,1.42,3.21,1.1,1.23
e_0,0.51,0.98,0.94,0.82,0.78,0.56,1.29,1.32,1.09,1.31,1.02,1.59,1.44,1.1,3.49,1.27
g_0,0.61,0.67,2.14,0.65,0.6,0.58,1.07,0.75,0.82,1.18,2.21,1.3,1.15,1.33,1.57,0.86
