,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.9,1.17,0.94,0.85,0.68,0.43,0.42,0.4,0.44,0.38,0.34,0.32,0.31,0.3,0.26
d_1,1.12,1.0,1.02,0.83,0.84,0.74,0.51,0.38,0.53,0.44,0.41,0.4,0.34,0.36,0.31,0.31
e_1,0.86,0.97,1.0,1.13,0.91,0.76,0.51,0.52,0.44,0.55,0.39,0.44,0.39,0.32,0.35,0.32
c_1,1.05,1.21,0.88,1.0,1.32,0.85,0.53,0.48,0.4,0.32,0.31,0.38,0.34,0.31,0.36,0.35
b_1,1.17,1.14,1.12,0.79,1.0,1.2,0.59,0.49,0.49,0.43,0.46,0.44,0.39,0.33,0.35,0.37
a_1,1.46,1.34,1.32,1.15,0.85,1.0,0.7,0.63,0.55,0.52,0.64,0.47,0.47,0.45,0.43,0.39
h_1,2.35,1.91,1.98,1.91,1.72,1.39,1.0,0.92,0.84,0.8,0.69,0.7,0.67,0.6,0.72,0.58
g_1,2.39,2.6,1.9,2.09,1.95,1.54,1.06,1.0,0.98,0.81,0.89,0.99,0.75,0.68,0.7,0.78
c_0,2.56,1.95,2.26,2.61,1.87,1.77,1.19,1.03,1.0,1.12,1.25,0.96,0.83,0.91,0.73,0.83
d_0,2.23,2.31,1.83,3.23,2.44,1.92,1.23,1.22,0.82,1.0,0.87,0.92,0.84,0.76,0.79,0.87
b_0,2.59,2.43,2.51,3.12,2.14,1.6,1.42,1.09,0.82,1.1,1.0,0.97,0.93,1.24,0.86,0.85
f_0,2.76,2.59,2.3,2.67,2.15,2.1,1.41,0.98,1.04,1.1,0.96,1.0,0.9,0.8,0.75,1.2
h_0,3.13,2.98,2.63,2.9,2.61,2.13,1.53,1.35,1.2,1.18,1.14,1.11,1.0,0.88,1.1,0.9
a_0,3.22,2.87,3.0,3.23,3.01,2.35,1.55,1.41,1.07,1.31,0.87,1.23,1.09,1.0,0.97,1.13
g_0,3.26,3.3,2.93,2.74,3.03,2.36,1.41,1.42,1.33,1.3,1.13,1.35,0.87,1.05,1.0,1.04
e_0,3.69,3.25,3.26,2.92,2.7,2.46,1.64,1.31,1.23,1.18,1.24,0.86,1.1,0.97,0.96,1.0
