,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.68,6.05,6.64,5.46,4.53,6.14,2.07,2.6,1.86,1.83,1.95,,1.11,1.8,1.54,1.9
e_1,3.65,0.68,4.93,5.9,5.31,6.56,2.66,2.61,1.95,2.35,1.76,2.09,1.64,2.38,,1.77
d_1,5.16,7.97,0.65,6.23,6.0,6.83,2.92,1.91,2.41,,1.79,2.27,1.34,1.93,1.74,1.2
c_1,5.73,6.01,6.41,0.64,5.82,6.63,3.28,2.73,,1.34,2.74,2.47,1.83,1.47,2.74,1.33
b_1,8.16,6.36,6.74,3.94,0.63,5.2,2.47,2.42,2.78,1.99,,2.65,1.6,2.49,,1.66
a_1,7.0,7.82,5.98,7.06,5.59,0.57,3.88,3.43,3.5,3.29,3.61,1.83,1.75,,,2.25
h_1,4.81,5.47,4.37,4.75,5.36,3.75,0.6,3.24,1.68,1.6,1.84,1.73,,1.9,1.59,1.77
g_1,6.94,7.22,5.8,5.66,5.2,4.29,1.44,0.58,2.27,2.41,1.88,2.59,1.41,2.39,1.11,
c_0,4.71,5.14,3.24,,4.57,3.83,2.33,1.52,0.69,2.29,2.08,2.09,1.37,1.33,1.87,1.58
d_0,5.56,3.06,,5.17,5.5,3.49,2.36,2.45,1.7,0.7,1.62,1.67,1.91,1.43,1.27,1.39
b_0,5.25,5.63,5.94,5.1,,4.52,1.91,1.82,1.23,2.12,0.67,1.72,1.46,2.67,2.17,1.17
f_0,,5.47,5.05,5.42,4.43,5.58,2.54,1.42,1.53,2.46,1.87,0.64,2.13,,2.23,1.38
h_0,5.33,4.1,5.14,4.13,4.89,4.47,,2.54,1.88,1.26,1.59,1.25,,1.34,1.81,1.17
a_0,6.21,5.38,5.87,7.12,6.68,,2.22,2.45,2.68,2.32,1.3,,1.74,0.62,,1.82
e_0,8.97,,6.69,4.97,,,2.92,3.36,2.39,2.41,2.21,1.06,1.51,,0.59,
g_0,5.58,5.05,4.78,5.5,5.39,4.19,1.7,,1.56,1.74,2.44,1.77,1.66,1.62,,
