,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.9,1.18,1.61,2.06,4.18,18.89,49.17,38.85,36.3,56.75,78.01,77.31,97.3,117.51,154.33
f_1,1.1,1.0,1.12,1.33,1.5,3.11,14.35,31.02,34.22,32.32,40.64,48.31,79.48,74.75,81.06,116.78
d_1,0.84,0.89,1.0,1.0,1.33,3.08,16.74,26.6,22.6,38.29,43.31,45.54,70.23,69.07,86.62,87.75
c_1,0.62,0.76,1.02,1.0,1.76,2.84,14.06,17.13,22.97,22.12,28.43,41.6,55.54,65.74,74.92,98.8
b_1,0.48,0.66,0.74,0.57,1.0,3.1,10.44,17.86,18.71,22.82,25.17,30.97,39.31,52.16,64.4,63.17
a_1,0.24,0.31,0.32,0.35,0.33,1.0,5.55,7.62,9.0,9.91,14.3,15.26,18.74,25.54,25.01,34.71
h_1,0.05,0.07,0.06,0.07,0.09,0.18,1.0,1.66,1.95,1.78,2.34,2.84,4.18,4.92,5.64,7.94
d_0,0.02,0.03,0.04,0.06,0.06,0.13,0.57,1.0,1.1,0.89,1.44,1.73,2.63,2.91,3.44,3.93
g_1,0.03,0.03,0.04,0.04,0.05,0.11,0.53,0.88,1.0,1.11,1.35,2.18,2.82,2.27,3.57,4.06
c_0,0.03,0.03,0.03,0.05,0.04,0.1,0.57,1.08,0.9,1.0,1.8,1.7,2.58,2.47,2.98,3.73
b_0,0.02,0.02,0.02,0.03,0.04,0.07,0.44,0.67,0.72,0.56,1.0,1.17,2.5,2.01,2.2,2.85
f_0,0.01,0.02,0.02,0.02,0.03,0.06,0.35,0.56,0.47,0.58,0.86,1.0,1.35,1.54,2.56,1.94
a_0,0.01,0.01,0.01,0.02,0.03,0.05,0.25,0.4,0.37,0.39,0.4,0.74,1.0,1.14,1.37,1.59
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.35,0.43,0.4,0.51,0.63,0.89,1.0,1.07,1.68
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,0.3,0.27,0.35,0.48,0.4,0.73,0.94,1.0,1.17
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.25,0.25,0.28,0.36,0.53,0.63,0.61,0.91,1.0
