,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.92,0.41,0.34,0.48,0.34,0.23,0.37,0.62,0.29,0.3,0.34,0.33,0.37,0.18,0.23,0.28
f_1,0.69,0.92,0.34,0.37,0.27,0.19,0.35,0.43,0.29,0.37,0.25,0.31,0.37,0.16,0.24,0.3
d_1,0.39,0.46,0.92,0.28,0.34,0.22,0.38,0.27,0.31,0.64,0.31,0.37,0.36,0.25,0.26,0.33
c_1,0.36,0.38,0.34,0.92,0.6,0.27,0.38,0.36,0.26,0.21,0.33,0.2,0.34,0.21,0.18,0.31
b_1,0.38,0.4,0.4,0.38,0.9,0.5,0.34,0.35,0.31,0.31,0.3,0.21,0.37,0.22,0.17,0.29
a_1,0.43,0.44,0.37,0.42,0.35,0.89,0.36,0.43,0.3,0.31,0.35,0.28,0.41,0.26,0.18,0.29
h_1,0.43,0.57,0.45,0.41,0.35,0.21,0.65,0.35,0.45,0.36,0.36,0.31,0.3,0.24,0.27,0.4
d_0,0.4,0.39,0.32,0.67,0.43,0.25,0.41,0.58,0.32,0.25,0.34,0.3,0.38,0.24,0.28,0.33
g_1,0.41,0.37,0.59,0.41,0.37,0.27,0.36,0.31,0.63,0.39,0.51,0.29,0.34,0.29,0.25,0.26
c_0,0.47,0.47,0.45,0.34,0.27,0.26,0.43,0.46,0.36,0.58,0.4,0.63,0.41,0.25,0.4,0.38
f_0,0.37,0.35,0.44,0.48,0.42,0.29,0.43,0.41,0.42,0.4,0.54,0.36,0.4,0.48,0.27,0.35
b_0,0.46,0.47,0.41,0.46,0.29,0.16,0.46,0.46,0.38,0.35,0.36,0.54,0.41,0.27,0.53,0.36
h_0,0.39,0.53,0.46,0.4,0.38,0.28,0.33,0.43,0.44,0.37,0.36,0.31,0.33,0.25,0.24,0.39
e_0,0.33,0.47,0.45,0.45,0.36,0.26,0.46,0.4,0.44,0.41,0.35,0.34,0.48,0.49,0.34,0.38
a_0,0.48,0.43,0.46,0.42,0.37,0.21,0.46,0.43,0.39,0.42,0.36,0.34,0.35,0.23,0.47,0.34
g_0,0.36,0.39,0.61,0.35,0.38,0.26,0.39,0.34,0.32,0.44,0.51,0.32,0.36,0.28,0.28,0.31
