,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.41,1.03,0.88,0.92,0.85,0.78,0.42,0.31,0.42,0.61,0.4,0.35,0.34,0.27,0.36,0.32
e_1,0.84,0.41,0.56,1.04,0.9,0.86,0.66,0.62,0.42,0.52,0.48,0.43,0.36,0.36,0.45,0.72
f_1,0.87,1.01,0.4,0.85,0.76,0.85,0.39,0.46,0.34,0.35,0.38,0.57,0.25,0.32,0.36,0.4
c_1,1.02,0.72,0.88,0.39,1.03,0.83,0.54,0.54,0.59,0.25,0.3,0.34,0.33,0.4,0.34,0.43
b_1,0.86,0.87,1.12,0.55,0.36,1.07,0.41,0.45,0.49,0.46,0.65,0.44,0.35,0.39,0.35,0.35
a_1,0.97,0.83,0.95,0.99,0.52,0.3,0.56,0.49,0.43,0.45,0.55,0.48,0.42,0.31,1.21,0.43
h_1,0.77,0.66,0.8,0.73,0.9,0.77,0.25,0.5,0.34,0.32,0.35,0.35,0.39,0.33,0.37,0.38
g_1,0.88,0.72,0.87,0.73,0.87,0.79,0.31,0.23,0.34,0.33,0.34,0.38,0.22,0.38,0.37,0.34
c_0,0.49,0.75,0.94,1.33,0.84,0.7,0.4,0.49,0.25,0.46,0.43,0.34,0.34,0.3,0.41,0.34
d_0,0.94,0.48,0.88,0.95,0.86,0.74,0.45,0.67,0.34,0.25,0.32,0.35,0.32,0.32,0.4,0.38
b_0,0.66,0.66,0.81,1.28,1.0,0.69,0.45,0.44,0.21,0.4,0.24,0.33,0.29,0.28,0.56,0.32
f_0,0.73,0.7,0.98,0.97,0.79,0.69,0.44,0.34,0.38,0.38,0.38,0.23,0.33,0.2,0.36,0.43
h_0,0.7,0.8,0.95,0.76,0.76,0.66,0.58,0.51,0.31,0.34,0.35,0.32,0.39,0.34,0.27,0.33
g_0,0.72,0.77,0.9,0.76,0.73,0.9,0.31,0.57,0.33,0.34,0.35,0.38,0.23,0.36,0.37,0.39
a_0,0.76,0.73,0.85,0.81,1.13,0.86,0.38,0.36,0.29,0.35,0.18,0.32,0.4,0.26,0.2,0.33
e_0,0.82,0.93,0.91,0.66,0.82,0.71,0.38,0.38,0.33,0.35,0.36,0.23,0.28,0.26,0.37,0.19
