,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,16.26,0.46,1.37,0.57,0.44,0.49,0.83,0.65,0.87,0.69,0.34,0.78,0.84,0.84,0.92,0.52
d_1,0.67,18.21,0.53,0.41,0.52,0.43,0.8,1.0,0.44,2.2,1.08,1.29,1.12,0.98,1.07,1.01
e_1,0.58,0.43,16.49,0.64,0.57,0.67,0.85,0.89,1.92,0.9,1.0,1.03,1.1,0.92,0.97,0.54
c_1,0.57,0.55,0.46,17.56,1.36,0.39,0.86,0.74,0.79,0.28,0.81,0.66,0.95,0.91,0.84,0.97
b_1,0.6,0.55,0.49,0.6,18.47,1.33,0.99,0.81,0.81,0.86,0.94,0.39,0.83,0.97,0.67,1.06
a_1,0.6,0.72,0.46,0.65,0.44,30.7,0.81,1.01,0.95,0.94,1.19,1.03,0.99,0.86,0.3,0.95
h_1,1.08,0.75,0.59,1.0,0.65,0.61,4.92,1.36,1.15,1.03,1.02,1.17,0.54,1.9,1.06,1.51
g_1,0.55,1.61,0.61,0.75,0.54,0.71,0.99,5.94,0.82,1.26,2.08,1.25,1.16,0.64,0.83,1.35
d_0,0.69,0.45,0.68,1.98,0.77,0.69,1.34,1.2,2.84,0.75,0.85,1.14,1.05,1.16,1.32,1.18
c_0,0.69,0.89,0.63,0.44,0.58,0.91,1.28,1.52,1.4,3.27,1.55,3.2,1.46,1.41,1.68,1.59
f_0,0.37,1.06,0.53,0.74,0.85,0.85,1.36,1.65,1.11,1.39,3.63,1.43,1.34,1.27,1.39,3.28
b_0,0.81,0.96,0.54,0.97,0.34,0.6,1.28,0.98,1.24,1.1,1.32,3.3,1.55,1.44,3.53,1.59
h_0,1.18,0.91,0.65,0.69,0.75,0.68,0.59,1.58,0.97,1.12,1.4,1.29,0.66,1.64,1.24,1.04
g_0,0.57,1.47,0.66,0.75,0.59,0.73,1.27,0.77,0.98,1.34,2.26,1.33,0.9,0.65,1.47,1.34
a_0,0.71,0.93,0.69,0.68,0.76,0.44,1.47,1.09,1.36,1.0,1.52,1.14,1.58,1.52,5.01,0.93
e_0,0.64,1.01,0.29,0.86,0.85,0.78,1.62,1.48,1.15,1.1,1.38,1.54,1.55,1.63,1.55,5.03
