,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.04,1.1,1.7,1.33,1.45,1.24,0.54,0.52,0.39,0.4,0.5,0.49,0.33,0.38,0.48,0.37
f_1,1.61,1.04,1.42,1.33,1.28,1.02,0.41,0.5,0.39,0.39,0.47,0.39,0.26,0.36,0.32,0.32
c_1,1.34,1.65,1.05,2.01,1.69,1.26,0.6,0.33,0.54,0.41,0.5,0.44,0.35,0.38,0.42,0.33
d_1,2.02,1.8,1.5,1.04,1.56,1.46,0.58,0.62,0.53,0.49,0.41,0.45,0.35,0.4,0.37,0.26
b_1,1.82,2.05,1.27,1.91,1.05,2.04,0.76,0.56,0.66,0.71,0.64,0.57,0.45,0.52,0.46,0.37
a_1,2.54,3.03,2.36,2.3,1.43,1.06,1.01,0.82,0.82,0.96,0.86,0.66,0.65,0.85,0.65,0.58
h_1,4.49,5.44,4.21,4.35,4.04,3.26,1.26,1.36,1.3,1.22,1.47,1.24,1.05,1.07,1.15,0.96
d_0,3.71,5.0,5.86,5.75,4.71,4.28,2.07,1.32,1.33,1.36,2.03,1.37,1.21,1.22,1.48,1.22
c_0,6.37,6.15,7.55,3.76,4.97,3.91,1.99,2.3,1.34,1.62,1.72,1.56,1.34,1.44,1.32,1.0
b_0,6.19,6.95,8.93,5.05,6.48,4.45,2.36,2.1,1.29,1.36,2.04,1.67,1.44,1.88,1.58,1.42
g_1,6.68,7.25,6.78,6.17,6.27,4.66,2.01,1.94,1.65,1.61,1.27,1.61,1.08,1.52,1.48,1.28
f_0,6.58,8.94,7.28,6.25,6.32,5.45,2.41,2.22,1.84,1.84,1.64,1.35,1.53,1.56,2.01,0.97
h_0,7.69,8.71,7.82,7.15,6.55,4.96,3.29,2.28,2.05,2.19,2.56,1.87,1.78,2.06,1.64,1.59
a_0,7.91,7.71,9.36,7.31,7.23,6.32,3.08,2.63,1.92,1.3,2.43,2.08,1.65,1.45,1.99,1.62
e_0,8.69,9.47,8.09,7.95,7.12,6.16,2.76,2.5,2.48,2.29,2.57,1.34,1.92,2.06,1.45,1.55
g_0,8.64,9.52,8.91,9.13,8.76,6.43,2.86,2.66,2.44,2.21,2.93,2.59,1.61,2.19,2.15,1.97
