,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.17,0.38,0.48,0.42,0.48,0.41,0.1,0.09,0.13,0.08,0.08,0.12,0.05,0.08,0.08,0.08
e_1,0.28,0.17,0.46,0.44,0.5,0.47,0.14,0.11,0.17,0.1,0.09,0.14,0.07,0.17,0.09,0.08
c_1,0.4,0.38,0.15,0.59,0.44,0.41,0.13,0.06,0.13,0.12,0.1,0.09,0.06,0.08,0.08,0.06
d_1,0.5,0.54,0.44,0.14,0.42,0.38,0.13,0.17,0.08,0.09,0.1,0.09,0.07,0.09,0.11,0.04
b_1,0.51,0.5,0.26,0.51,0.13,0.49,0.13,0.1,0.13,0.14,0.14,0.1,0.06,0.08,0.09,0.06
a_1,0.5,0.5,0.41,0.55,0.22,0.1,0.15,0.13,0.14,0.11,0.14,0.08,0.07,0.08,0.14,0.07
h_1,0.42,0.38,0.42,0.35,0.45,0.33,0.06,0.08,0.11,0.08,0.08,0.08,0.08,0.07,0.08,0.05
d_0,0.39,0.23,0.47,0.65,0.45,0.37,0.13,0.06,0.15,0.1,0.08,0.08,0.07,0.11,0.08,0.06
g_1,0.45,0.34,0.41,0.4,0.45,0.39,0.09,0.08,0.05,0.08,0.08,0.08,0.05,0.08,0.07,0.06
c_0,0.47,0.4,0.73,0.21,0.41,0.43,0.11,0.13,0.11,0.05,0.1,0.09,0.06,0.08,0.09,0.06
b_0,0.42,0.35,0.59,0.3,0.6,0.33,0.12,0.09,0.11,0.04,0.05,0.07,0.05,0.08,0.07,0.05
f_0,0.56,0.37,0.44,0.41,0.38,0.33,0.1,0.1,0.07,0.08,0.08,0.04,0.06,0.07,0.07,0.03
h_0,0.42,0.37,0.47,0.37,0.36,0.3,0.16,0.08,0.11,0.08,0.08,0.08,0.08,0.07,0.07,0.06
e_0,0.5,0.5,0.43,0.36,0.36,0.34,0.09,0.08,0.11,0.09,0.08,0.04,0.05,0.04,0.08,0.04
a_0,0.37,0.36,0.45,0.36,0.51,0.48,0.13,0.08,0.11,0.07,0.04,0.1,0.06,0.09,0.03,0.05
g_0,0.49,0.4,0.43,0.38,0.38,0.31,0.09,0.09,0.13,0.09,0.08,0.07,0.04,0.07,0.08,0.07
