,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.39,0.73,0.65,0.82,0.6,0.55,0.96,0.81,0.8,1.72,0.93,0.92,1.04,0.93,0.53,0.98
f_1,1.12,2.53,0.61,0.6,0.57,0.63,0.76,0.81,0.65,0.83,0.88,0.37,0.89,0.86,0.62,0.83
d_1,0.62,0.68,2.69,0.53,0.62,0.7,0.96,1.7,0.99,0.48,1.0,0.97,0.96,0.99,1.13,0.89
c_1,0.65,0.62,0.63,3.08,1.18,0.51,0.82,0.39,0.95,0.83,0.84,0.99,0.92,0.72,0.87,0.98
b_1,0.6,0.69,0.66,0.65,3.48,1.27,0.91,0.75,0.72,0.83,0.37,0.93,0.95,0.66,0.92,0.88
a_1,0.66,0.67,0.64,0.73,0.59,4.24,0.96,0.92,1.11,0.7,1.06,1.17,1.07,0.6,1.18,1.02
h_1,0.66,1.09,0.85,0.71,0.74,0.69,2.72,1.03,1.44,1.07,1.22,1.26,0.7,1.16,1.34,1.52
c_0,0.8,0.82,0.88,0.48,0.61,0.72,1.34,2.17,1.28,1.18,2.32,1.34,1.35,1.62,1.35,1.33
g_1,0.64,0.7,1.27,0.71,0.85,0.83,0.99,1.21,3.31,0.85,1.2,1.7,0.93,1.29,1.11,0.65
d_0,0.78,0.83,0.45,1.51,0.8,0.64,1.0,0.94,1.15,1.99,1.19,1.09,1.3,1.18,1.15,1.41
b_0,0.76,0.89,1.03,0.75,0.55,0.49,1.15,1.2,1.16,1.11,2.29,1.22,1.14,2.66,1.27,1.27
f_0,0.56,0.48,0.96,0.99,0.85,0.78,1.2,1.27,1.18,1.32,1.16,2.58,1.22,1.42,2.57,1.28
h_0,0.85,1.07,0.9,0.8,0.76,0.63,0.71,1.01,1.48,1.11,1.31,0.96,0.74,1.09,1.15,1.43
a_0,0.75,0.82,1.02,0.95,0.71,0.3,1.26,1.34,1.11,1.32,1.02,1.16,1.43,3.14,1.37,1.22
e_0,0.4,1.04,0.7,0.85,0.7,0.88,1.4,1.42,1.33,1.13,1.46,1.47,1.42,1.48,3.32,1.29
g_0,0.66,0.69,1.29,0.85,0.71,0.64,0.95,1.18,0.77,0.98,1.26,1.77,1.12,1.18,1.24,0.88
