,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.08,2.04,2.11,2.37,2.31,2.15,0.53,0.66,0.43,0.49,0.42,0.6,0.24,0.4,0.38,0.45
e_1,1.53,1.09,2.51,2.5,2.42,2.11,0.66,0.75,0.49,0.52,0.48,0.64,0.33,0.51,0.38,0.63
d_1,2.67,3.13,1.09,2.44,2.04,1.92,0.66,0.49,0.5,0.72,0.55,0.48,0.33,0.47,0.22,0.41
c_1,2.69,2.13,3.15,1.09,2.8,2.7,0.77,0.68,0.7,0.34,0.58,0.53,0.38,0.53,0.38,0.51
b_1,3.85,3.44,3.63,1.96,1.11,3.04,0.91,0.92,1.02,0.63,1.06,0.68,0.6,0.67,0.6,0.72
a_1,5.43,4.93,4.77,4.57,2.29,1.12,1.4,1.25,1.1,1.01,1.4,0.88,0.69,1.21,0.68,0.81
h_1,9.43,9.09,8.9,9.08,8.52,8.03,1.52,2.58,1.74,2.08,1.85,1.75,1.52,1.61,1.3,1.79
g_1,12.46,11.42,10.81,11.25,11.59,10.99,2.47,1.56,2.64,2.51,2.31,2.47,1.37,2.23,1.8,2.54
c_0,14.98,14.03,7.3,17.31,12.2,10.86,3.59,3.48,1.75,3.5,2.69,2.37,1.73,2.4,1.41,2.19
d_0,11.8,7.99,15.55,13.7,11.64,11.76,3.84,4.17,2.95,1.83,2.62,2.66,1.88,2.37,1.87,2.44
b_0,13.98,13.23,10.02,18.98,14.67,10.93,3.6,3.93,1.59,3.34,1.83,2.7,1.71,3.31,1.73,2.13
f_0,19.43,15.1,13.17,13.4,15.2,12.31,3.89,2.99,2.5,2.88,2.82,1.79,1.98,2.61,1.31,2.47
h_0,19.04,18.27,17.36,18.98,17.15,15.26,6.24,5.08,3.53,4.07,3.18,4.0,3.46,3.36,2.46,3.1
a_0,20.7,18.45,17.36,19.33,24.88,22.52,5.64,5.16,3.49,4.86,2.36,4.09,2.65,2.15,2.59,4.01
g_0,26.13,24.32,21.89,25.4,19.08,16.06,4.8,8.24,4.01,5.58,4.46,4.98,2.52,4.6,3.53,4.16
e_0,29.37,29.49,20.22,21.14,22.07,19.44,6.2,5.12,4.13,4.86,4.12,2.36,3.33,4.17,3.23,2.12
