,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.56,0.62,0.61,0.58,0.51,0.26,0.31,0.27,0.29,0.28,0.28,0.21,0.26,0.22,0.24
d_1,0.67,0.4,0.63,0.57,0.54,0.54,0.32,0.23,0.29,0.34,0.26,0.27,0.21,0.28,0.19,0.25
e_1,0.45,0.61,0.4,0.7,0.61,0.56,0.32,0.37,0.29,0.32,0.27,0.32,0.25,0.26,0.25,0.31
c_1,0.56,0.72,0.49,0.37,0.71,0.59,0.32,0.33,0.29,0.17,0.22,0.25,0.21,0.23,0.23,0.27
b_1,0.63,0.61,0.62,0.4,0.36,0.69,0.34,0.32,0.31,0.25,0.35,0.28,0.23,0.28,0.22,0.26
a_1,0.67,0.63,0.63,0.58,0.38,0.32,0.35,0.35,0.29,0.27,0.39,0.26,0.24,0.34,0.24,0.26
h_1,0.63,0.53,0.56,0.6,0.56,0.49,0.23,0.3,0.26,0.27,0.23,0.23,0.23,0.23,0.23,0.23
g_1,0.61,0.58,0.49,0.6,0.55,0.49,0.27,0.21,0.25,0.23,0.26,0.27,0.2,0.23,0.23,0.26
c_0,0.62,0.42,0.57,0.8,0.57,0.55,0.32,0.29,0.22,0.33,0.31,0.28,0.21,0.29,0.2,0.28
d_0,0.5,0.62,0.4,0.74,0.64,0.59,0.33,0.35,0.23,0.22,0.24,0.26,0.22,0.24,0.22,0.29
b_0,0.57,0.49,0.55,0.79,0.62,0.47,0.33,0.27,0.17,0.26,0.2,0.24,0.21,0.31,0.21,0.25
f_0,0.63,0.54,0.51,0.63,0.53,0.57,0.33,0.23,0.24,0.26,0.23,0.2,0.21,0.22,0.17,0.3
h_0,0.58,0.57,0.51,0.62,0.59,0.51,0.37,0.3,0.25,0.25,0.25,0.26,0.24,0.22,0.24,0.24
a_0,0.59,0.51,0.57,0.63,0.69,0.6,0.29,0.31,0.2,0.26,0.16,0.26,0.21,0.18,0.2,0.29
g_0,0.59,0.54,0.57,0.55,0.62,0.55,0.27,0.33,0.25,0.27,0.23,0.26,0.16,0.26,0.23,0.24
e_0,0.69,0.58,0.66,0.55,0.51,0.56,0.31,0.26,0.23,0.23,0.25,0.16,0.21,0.24,0.19,0.18
