,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.75,1.35,0.73,0.82,0.68,0.65,0.97,0.85,1.03,0.85,0.93,0.71,0.81,0.84,0.59,0.91
e_1,0.89,1.78,0.64,1.09,0.75,0.66,1.01,0.86,1.52,0.8,1.06,1.01,0.96,1.01,0.78,0.94
d_1,0.91,0.73,1.98,0.58,0.71,0.82,0.89,1.02,0.7,1.78,1.27,1.11,1.07,1.04,1.14,1.1
c_1,0.71,0.69,0.8,1.95,1.44,0.81,0.98,0.91,0.91,0.6,0.64,0.91,0.91,0.87,0.95,0.94
b_1,0.88,0.67,0.93,0.74,2.08,1.46,0.93,0.99,0.76,0.94,0.67,0.92,1.12,0.95,1.03,0.95
a_1,0.88,0.83,0.89,0.91,0.82,2.95,0.94,1.06,0.95,0.99,0.97,0.86,1.04,0.77,0.84,1.0
h_1,1.2,0.94,0.95,0.83,0.75,0.66,1.74,1.14,0.97,0.81,1.06,0.98,0.88,1.01,1.09,1.32
g_1,0.77,0.67,1.36,0.83,0.87,0.81,0.9,1.95,0.83,1.06,1.1,1.62,1.1,1.06,1.44,0.91
d_0,0.84,0.89,0.61,1.48,0.95,0.74,1.01,1.05,1.43,0.72,0.92,1.04,1.01,0.94,1.14,0.92
c_0,0.94,0.85,1.0,0.69,0.64,0.82,1.06,1.12,0.98,1.68,2.03,1.09,1.26,1.4,1.27,1.14
b_0,0.87,0.86,0.98,0.86,0.7,0.65,1.17,1.08,1.07,1.06,1.92,1.16,1.23,2.06,1.22,1.16
f_0,0.69,0.72,1.06,0.78,0.86,0.97,1.18,1.04,1.02,1.22,1.13,2.01,1.32,1.27,2.53,1.25
h_0,0.98,0.83,1.02,0.96,0.79,0.78,0.94,1.33,0.98,0.88,1.0,1.13,0.78,1.14,1.22,1.35
a_0,0.87,0.81,1.11,0.81,0.87,0.69,1.13,1.2,0.96,1.03,1.15,1.25,1.16,1.95,1.26,1.0
e_0,0.94,0.67,1.01,0.93,0.8,0.89,1.1,0.98,0.99,0.83,1.1,1.13,1.21,1.16,2.12,1.13
g_0,0.83,0.84,1.32,0.81,0.69,0.73,1.03,1.09,0.85,1.12,1.04,1.6,1.01,0.94,1.36,0.73
