,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.44,1.76,1.22,1.29,1.24,1.02,1.95,2.23,2.49,2.11,2.62,1.76,2.4,2.73,3.35,1.94
e_1,1.21,2.44,1.13,1.35,1.15,1.18,2.89,2.42,4.36,2.87,3.22,3.36,3.09,3.3,3.62,2.31
d_1,1.28,1.17,2.51,1.11,1.11,1.36,2.26,2.15,1.75,4.41,3.32,2.88,2.64,3.64,3.03,3.24
c_1,1.24,1.21,1.21,2.58,1.96,1.1,2.12,2.04,2.19,1.54,2.03,2.52,2.62,3.14,3.02,2.35
b_1,1.16,1.15,1.33,1.07,2.78,2.06,2.36,2.44,2.75,2.34,1.53,3.03,2.24,3.32,3.17,3.02
a_1,1.33,1.22,1.3,1.25,1.1,3.18,2.88,2.62,2.57,2.74,2.5,2.72,2.33,4.08,3.36,2.79
h_1,1.8,1.2,1.4,1.45,1.24,1.16,4.09,3.31,3.02,3.01,2.8,2.8,2.59,2.94,4.58,3.22
g_1,1.25,1.34,2.05,1.45,1.11,1.17,2.12,4.47,1.99,2.69,2.82,3.59,2.37,3.16,3.31,2.74
d_0,1.35,1.12,1.09,2.31,1.42,1.29,2.57,2.96,4.05,2.33,2.88,2.87,3.02,3.76,3.41,2.89
c_0,1.61,1.4,1.18,1.08,1.18,1.32,2.57,2.98,3.46,4.13,5.81,3.59,3.67,3.91,3.74,3.53
b_0,1.55,1.26,1.3,1.6,1.2,1.13,2.81,2.69,3.18,2.33,4.29,2.59,5.59,4.48,3.98,3.25
f_0,1.22,1.12,1.48,1.54,1.29,1.5,2.91,2.41,3.31,2.72,3.33,4.52,3.01,3.74,3.5,6.27
a_0,1.68,1.31,1.37,1.46,1.38,0.89,2.95,3.16,3.09,2.5,2.95,3.01,4.86,3.62,3.68,2.37
h_0,1.98,1.36,1.43,1.44,1.27,0.98,1.91,3.61,2.63,2.61,2.66,2.9,2.94,2.87,4.44,3.08
g_0,1.3,1.3,1.79,1.33,1.24,1.36,2.53,2.12,3.04,2.66,2.66,4.14,3.3,3.56,3.07,3.42
e_0,1.55,1.18,1.37,1.68,1.24,1.18,2.52,3.03,3.04,2.85,3.18,1.93,3.77,3.8,4.0,5.44
