,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.43,1.78,1.96,1.84,1.82,1.37,0.4,0.31,0.33,0.82,0.4,0.29,0.37,0.23,0.32,0.18
f_1,1.53,0.43,1.58,1.89,1.57,1.53,0.39,0.63,0.33,0.37,0.32,0.67,0.3,0.18,0.27,0.29
e_1,1.87,0.99,0.42,2.13,1.9,2.05,0.59,0.47,0.39,0.42,0.45,0.4,0.39,0.25,0.68,0.3
c_1,2.3,1.88,1.36,0.41,1.77,1.68,0.6,0.56,0.67,0.19,0.35,0.38,0.36,0.31,0.39,0.24
b_1,2.38,2.14,1.94,0.95,0.39,2.0,0.6,0.6,0.46,0.47,0.79,0.39,0.37,0.29,0.45,0.34
a_1,2.48,2.32,2.55,2.76,1.22,0.32,0.77,0.81,0.54,0.53,0.63,0.52,1.21,0.42,0.5,0.36
h_1,2.42,3.26,2.7,2.73,3.26,3.05,0.32,0.85,0.5,0.57,0.56,0.52,0.55,0.66,0.48,0.38
g_1,2.94,3.28,3.64,3.32,3.09,2.43,0.67,0.3,0.62,0.81,0.66,0.65,0.64,0.34,0.58,0.77
c_0,1.63,4.04,2.92,6.11,4.26,2.99,1.05,0.87,0.37,0.93,0.66,0.59,0.67,0.4,0.62,0.44
d_0,5.83,3.56,1.74,3.22,3.16,3.74,1.21,1.17,0.65,0.35,0.64,0.76,0.63,0.45,0.69,0.51
b_0,2.97,3.66,2.95,3.92,6.51,3.45,0.88,0.89,0.39,0.76,0.33,0.69,0.76,0.56,0.7,0.48
f_0,3.27,7.23,3.28,3.59,3.36,3.1,0.94,0.61,0.65,0.68,0.59,0.35,0.61,0.59,0.67,0.33
a_0,3.53,3.9,4.36,4.17,4.87,9.12,1.15,1.23,0.63,0.85,0.41,0.78,0.32,0.53,0.58,0.53
h_0,4.04,3.83,4.45,3.69,3.39,3.0,1.81,1.35,0.88,0.84,0.77,0.78,0.71,1.04,0.72,0.63
e_0,3.54,6.56,6.8,4.28,4.23,4.1,0.93,0.95,0.75,0.92,0.69,0.42,0.72,0.56,0.32,0.49
g_0,3.77,5.06,3.87,4.4,4.02,4.82,0.89,2.41,0.9,0.82,0.67,0.79,0.8,0.51,0.75,0.68
