,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.89,0.91,0.89,0.71,0.41,0.38,0.5,0.44,0.37,0.32,0.28,0.29,0.31,0.36
e_1,0.81,1.0,0.96,1.2,0.9,0.77,0.53,0.43,0.44,0.56,0.41,0.47,0.38,0.34,0.38,0.35
d_1,1.12,1.05,1.0,0.8,0.87,0.8,0.5,0.6,0.36,0.48,0.47,0.4,0.38,0.37,0.37,0.27
c_1,1.09,0.84,1.25,1.0,1.59,0.66,0.5,0.35,0.48,0.29,0.36,0.37,0.38,0.35,0.31,0.35
b_1,1.13,1.1,1.16,0.62,1.0,1.31,0.66,0.51,0.48,0.5,0.43,0.4,0.43,0.32,0.33,0.39
a_1,1.4,1.29,1.25,1.5,0.77,1.0,0.72,0.55,0.58,0.69,0.62,0.57,0.57,0.6,0.4,0.45
h_1,2.35,1.88,1.97,1.99,1.57,1.35,1.0,0.85,1.06,0.77,0.8,0.69,0.72,0.71,0.62,0.73
c_0,2.56,2.36,1.7,3.17,1.91,1.63,1.15,1.0,1.08,1.11,1.28,0.86,0.88,0.93,0.7,0.73
g_1,1.96,2.28,2.78,2.07,2.12,1.72,0.94,0.95,1.0,0.9,0.85,1.05,0.7,0.69,0.6,0.65
d_0,2.24,1.79,2.2,3.24,2.05,1.47,1.34,0.92,1.12,1.0,0.97,0.79,0.89,0.83,0.76,0.67
b_0,2.77,2.44,2.16,2.74,2.35,1.61,1.26,0.81,1.2,1.02,1.0,0.91,0.98,1.22,0.79,0.67
f_0,2.95,2.18,2.47,2.6,2.39,1.85,1.5,1.16,0.92,1.21,1.08,1.0,1.06,1.02,1.3,0.65
h_0,3.24,2.63,2.73,2.66,2.35,1.67,1.4,1.14,1.45,1.12,1.03,0.97,1.0,0.83,0.94,1.06
a_0,3.49,2.9,2.67,3.01,3.07,1.83,1.44,1.14,1.53,1.26,0.88,1.05,1.19,1.0,0.99,0.98
e_0,3.32,2.78,2.84,3.1,2.9,2.38,1.71,1.35,1.73,1.33,1.32,0.8,1.13,0.99,1.0,0.97
g_0,2.76,2.83,3.81,2.93,2.61,2.13,1.36,1.34,1.53,1.43,1.43,1.6,0.98,1.06,1.05,1.0
