,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.46,0.97,1.85,1.15,0.94,1.02,1.94,1.85,2.45,2.06,1.33,2.28,2.57,3.02,2.53,1.76
d_1,1.34,2.48,1.17,0.96,1.11,0.87,2.1,2.17,1.7,3.97,2.71,2.93,3.33,2.79,2.67,2.49
e_1,0.99,0.98,2.48,1.25,1.21,1.32,2.29,2.21,3.89,2.54,2.75,2.85,3.48,3.19,2.54,2.06
c_1,1.17,1.19,1.0,2.56,1.87,0.82,1.99,1.87,1.99,1.13,2.21,1.93,3.15,2.98,2.4,2.68
b_1,1.26,1.13,1.03,1.01,2.68,1.93,2.43,2.22,2.31,2.58,2.47,1.68,2.82,3.25,2.14,2.82
a_1,1.22,1.4,0.96,1.37,0.84,3.31,2.28,2.3,2.59,2.43,2.86,2.77,3.11,2.88,1.15,2.5
h_1,1.56,1.24,1.1,1.55,1.15,1.07,3.98,2.99,2.57,2.59,2.46,2.93,2.27,4.35,2.5,3.16
g_1,1.14,1.7,1.14,1.36,1.03,1.26,1.89,4.37,2.2,2.86,3.51,3.0,2.94,2.17,2.25,3.04
d_0,1.19,1.05,1.06,2.09,1.27,1.2,2.65,2.8,3.85,2.23,2.33,2.68,3.19,3.17,3.27,2.7
c_0,1.28,1.17,1.17,1.04,1.12,1.44,2.63,2.74,3.19,4.06,3.27,4.77,3.94,3.47,3.49,3.56
f_0,0.94,1.48,1.02,1.35,1.35,1.29,2.62,2.79,2.9,2.82,4.26,3.21,3.5,3.07,3.12,5.04
b_0,1.37,1.39,1.04,1.62,0.82,1.09,2.56,2.13,2.83,2.22,2.79,4.17,3.74,3.46,5.04,3.09
h_0,1.63,1.37,1.18,1.21,1.29,1.12,1.9,2.89,2.51,2.52,2.99,2.88,2.56,4.21,2.78,2.52
g_0,1.08,1.73,1.21,1.3,1.1,1.27,2.34,2.12,2.6,2.89,3.91,3.07,2.7,2.46,3.02,2.86
a_0,1.19,1.43,1.22,1.32,1.28,1.09,2.92,2.37,2.59,2.22,2.99,2.24,3.85,3.9,5.03,2.08
e_0,1.32,1.47,0.77,1.31,1.28,1.24,2.87,2.75,2.69,2.41,2.42,3.28,4.07,3.96,3.79,5.12
