,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.51,0.66,0.58,0.83,0.67,0.5,0.78,1.39,0.73,0.76,0.83,0.78,0.94,0.9,0.53,0.76
f_1,1.1,1.52,0.62,0.62,0.6,0.52,0.68,0.79,0.67,0.85,0.72,0.54,0.69,0.59,0.55,0.79
d_1,0.74,0.94,1.56,0.56,0.49,0.52,0.85,0.57,0.6,1.21,0.89,0.75,0.83,0.65,0.76,0.72
c_1,0.63,0.68,0.61,1.57,1.16,0.49,0.73,0.7,0.7,0.39,0.73,0.74,0.84,0.63,0.66,0.74
b_1,0.63,0.64,0.81,0.6,1.6,1.11,0.78,0.74,0.78,0.83,0.5,0.86,0.83,0.66,0.65,0.79
a_1,0.79,0.79,0.86,0.83,0.45,1.73,0.96,0.85,0.89,0.76,0.89,0.85,1.12,0.46,0.87,0.93
h_1,0.93,1.23,0.96,0.85,0.8,0.62,1.74,1.11,1.12,0.92,1.03,0.87,0.81,0.78,0.83,1.45
d_0,0.7,0.89,0.68,1.57,1.03,0.72,0.95,1.6,0.95,0.74,1.01,1.01,1.34,0.96,0.9,1.24
g_1,0.8,0.9,1.38,0.72,0.86,0.79,0.97,0.91,1.85,1.11,0.92,1.44,1.04,0.97,0.98,0.77
c_0,0.94,1.13,0.97,0.81,0.64,0.8,1.29,1.39,0.99,1.62,1.7,1.16,1.19,1.17,1.01,1.37
b_0,0.98,1.1,1.03,0.98,0.55,0.71,1.18,1.24,1.02,0.96,1.68,0.99,1.42,1.51,1.14,1.29
f_0,0.88,0.69,1.02,0.92,1.04,0.94,1.2,1.35,0.99,1.04,1.07,1.7,1.35,0.99,1.77,1.03
h_0,1.08,1.38,1.01,1.0,1.01,0.76,0.78,1.14,1.24,1.08,0.94,0.87,0.93,0.84,0.95,1.43
a_0,0.96,1.14,1.08,1.0,0.92,0.61,1.39,1.33,0.9,1.04,1.15,1.14,1.54,1.72,1.05,1.14
e_0,0.55,1.31,1.03,1.05,1.16,0.78,1.16,1.28,1.06,1.23,0.99,0.97,1.53,1.0,1.7,1.41
g_0,0.97,0.93,1.5,1.06,0.92,0.83,0.97,1.0,0.89,1.09,1.14,1.41,1.14,1.16,1.02,0.89
