,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,6.3,3.23,2.73,2.16,2.71,2.91,10.54,8.71,21.91,10.77,16.09,14.79,19.71,16.56,16.06,20.05
f_1,2.45,6.25,4.53,2.81,2.45,2.65,10.48,14.59,12.13,9.87,12.21,10.45,18.88,12.91,9.5,20.1
e_1,2.21,2.88,6.56,3.52,2.99,2.74,10.73,22.96,12.43,10.28,12.25,12.42,21.1,14.94,11.46,20.55
c_1,2.9,2.61,2.38,6.87,5.0,2.77,9.88,12.07,9.12,9.61,9.11,12.99,19.56,13.12,14.99,18.58
b_1,2.79,2.86,2.38,2.96,7.77,5.5,10.65,13.5,10.89,9.79,10.11,13.36,19.76,10.93,15.52,20.7
a_1,3.04,3.15,2.89,3.04,2.4,10.35,10.89,11.31,11.73,10.68,13.72,12.49,22.33,9.84,13.58,20.41
h_1,3.04,3.97,3.0,2.91,2.91,3.1,18.65,11.39,13.19,13.11,13.52,15.13,16.65,12.64,15.05,25.75
d_0,2.21,2.75,2.66,5.16,3.8,3.37,11.27,19.14,9.92,10.8,13.19,13.36,21.11,15.16,14.8,22.35
c_0,3.26,3.26,2.93,2.66,2.31,2.61,12.04,13.86,20.47,12.54,24.6,16.11,22.65,22.37,16.2,23.1
g_1,4.38,2.71,2.44,2.91,3.13,2.67,10.24,10.7,14.13,22.94,15.11,22.0,21.75,12.67,17.91,17.69
b_0,3.53,3.35,2.73,3.1,2.55,2.29,12.55,13.19,15.13,12.92,23.53,15.07,25.98,29.5,17.56,23.01
f_0,3.7,2.67,2.51,3.24,3.54,2.87,10.92,11.37,16.38,12.63,15.22,24.78,23.52,15.64,35.43,23.61
h_0,3.33,3.71,2.68,2.98,3.03,2.91,8.88,13.06,13.76,15.93,14.47,14.98,19.44,16.4,16.46,28.73
a_0,3.12,3.31,3.19,3.47,3.26,1.74,12.93,13.39,14.7,13.85,16.62,14.73,24.54,30.77,15.92,24.06
e_0,3.18,3.24,2.64,3.1,3.61,3.03,10.42,13.22,14.77,12.04,14.15,16.64,24.76,16.74,31.04,28.93
g_0,4.48,2.62,2.43,2.77,3.31,3.13,10.35,9.97,15.58,9.77,13.73,20.1,20.19,15.54,18.57,18.29
