,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,15.87,1.11,0.49,0.5,0.41,0.51,0.87,0.77,0.74,0.81,0.32,1.06,0.81,0.96,0.71,0.81
e_1,0.56,16.94,0.45,0.59,0.66,0.42,0.71,0.92,2.09,1.02,1.09,1.04,1.05,0.95,0.45,1.04
d_1,0.6,0.47,19.34,0.45,0.43,0.52,0.85,0.93,0.33,2.26,1.11,1.05,1.13,1.03,1.18,1.05
c_1,0.48,0.46,0.52,21.33,1.18,0.39,0.76,0.81,0.78,0.15,1.06,0.62,0.8,0.89,0.99,0.85
b_1,0.5,0.52,0.51,0.55,21.67,1.28,1.06,0.77,1.14,0.6,0.77,0.3,0.94,0.52,0.86,0.79
a_1,0.66,0.45,0.6,0.48,0.53,34.92,1.02,0.84,0.58,0.92,0.9,0.88,1.13,0.28,0.93,0.9
h_1,1.03,0.51,0.75,0.7,0.58,0.83,5.79,1.5,1.09,0.79,0.96,1.09,0.53,1.07,1.18,1.62
g_1,0.67,0.56,1.14,0.7,0.56,0.76,1.11,6.21,0.9,1.0,1.79,1.14,0.96,1.34,1.24,0.55
d_0,0.6,0.68,0.27,1.85,0.69,0.78,1.12,1.26,3.42,0.68,1.45,0.99,1.18,1.39,0.91,1.16
c_0,0.8,0.62,0.89,0.41,0.52,0.54,1.24,0.99,1.04,3.53,1.19,3.45,1.44,1.77,1.42,1.4
f_0,0.34,0.5,0.97,0.95,0.73,0.66,1.24,1.03,1.12,1.44,4.1,0.97,1.36,1.02,3.25,1.73
b_0,0.75,0.49,0.88,0.93,0.28,0.52,1.13,1.16,1.36,1.25,1.3,4.63,1.58,3.24,1.26,1.52
h_0,1.26,0.72,0.75,0.66,0.51,0.59,0.65,1.95,1.02,1.09,1.04,1.36,0.66,1.22,0.97,1.94
a_0,0.72,0.52,1.18,0.74,0.73,0.23,1.08,1.08,1.08,1.08,1.22,1.08,1.47,5.14,1.57,1.72
e_0,0.77,0.3,0.67,0.73,0.77,0.92,1.69,0.91,1.65,1.25,1.37,1.43,1.63,1.34,5.24,1.03
g_0,0.49,0.56,1.26,0.74,0.71,0.71,1.06,0.82,0.85,1.5,2.25,1.39,1.11,1.26,1.62,0.73
