,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.42,0.83,0.95,0.81,0.85,0.26,0.16,0.18,0.26,0.17,0.19,0.15,0.13,0.4,0.15
f_1,0.7,0.16,0.81,0.58,0.91,0.68,0.19,0.2,0.16,0.29,0.17,0.39,0.14,0.08,0.17,0.14
c_1,0.64,0.78,0.16,0.98,0.7,0.8,0.27,0.08,0.36,0.23,0.18,0.14,0.14,0.1,0.12,0.11
d_1,1.01,1.02,0.76,0.15,0.76,0.66,0.17,0.39,0.14,0.12,0.13,0.13,0.18,0.11,0.14,0.06
b_1,0.83,0.91,0.4,0.81,0.14,0.88,0.22,0.18,0.18,0.27,0.38,0.2,0.18,0.13,0.13,0.12
a_1,0.86,0.85,1.14,0.86,0.39,0.09,0.21,0.19,0.13,0.27,0.14,0.21,1.2,0.12,0.16,0.1
h_1,0.64,0.7,0.61,0.52,0.54,0.52,0.06,0.16,0.13,0.17,0.12,0.12,0.13,0.15,0.13,0.1
d_0,0.34,0.62,0.7,1.36,0.56,0.76,0.21,0.07,0.14,0.22,0.14,0.12,0.11,0.1,0.13,0.1
c_0,0.66,0.58,1.55,0.33,0.67,0.68,0.18,0.17,0.07,0.17,0.14,0.12,0.13,0.11,0.16,0.08
g_1,0.68,0.75,0.57,0.54,0.72,0.66,0.12,0.16,0.1,0.05,0.12,0.12,0.1,0.07,0.15,0.15
b_0,0.54,0.62,0.77,0.58,1.35,0.6,0.17,0.12,0.07,0.16,0.06,0.1,0.13,0.08,0.13,0.07
f_0,0.51,1.58,0.63,0.59,0.64,0.55,0.19,0.13,0.11,0.11,0.14,0.05,0.12,0.08,0.12,0.06
a_0,0.51,0.65,0.63,0.69,0.81,1.12,0.17,0.13,0.12,0.18,0.06,0.11,0.04,0.09,0.12,0.1
h_0,0.57,0.61,0.62,0.62,0.7,0.49,0.27,0.12,0.12,0.17,0.13,0.13,0.12,0.13,0.11,0.08
e_0,0.98,0.88,0.55,0.7,0.7,0.41,0.16,0.13,0.12,0.18,0.12,0.06,0.11,0.08,0.04,0.08
g_0,0.57,0.65,0.66,0.65,0.56,0.52,0.11,0.15,0.12,0.3,0.11,0.13,0.12,0.07,0.12,0.16
