,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.96,0.51,0.5,0.68,0.59,0.52,0.82,0.97,0.77,1.7,0.89,0.99,1.0,1.03,0.35,1.13
f_1,1.14,17.42,0.43,0.53,0.55,0.47,0.78,0.65,0.76,0.82,0.85,0.29,0.86,0.78,0.59,0.72
d_1,0.42,0.58,20.22,0.44,0.39,0.67,0.91,1.03,2.3,0.35,1.13,1.05,1.08,1.26,1.05,1.27
c_1,0.4,0.54,0.48,21.74,1.19,0.49,0.83,0.92,0.24,0.96,0.74,0.88,0.92,0.65,1.19,0.82
b_1,0.5,0.58,0.47,0.49,22.74,1.07,0.72,0.7,0.96,0.97,0.36,0.86,0.84,0.7,1.11,0.78
a_1,0.56,0.47,0.66,0.57,0.39,31.68,1.27,0.75,0.86,0.86,1.22,1.01,1.03,0.45,1.06,0.75
h_1,0.7,0.92,0.81,0.61,0.46,0.63,5.85,1.45,1.24,0.89,0.98,1.38,0.6,1.24,1.02,2.01
g_1,0.59,0.45,1.44,0.55,0.63,0.61,1.02,6.52,1.04,0.97,1.3,2.71,1.11,0.97,1.27,0.52
c_0,0.61,0.9,0.95,0.35,0.54,0.58,1.11,0.97,3.27,0.98,2.55,1.36,1.21,1.47,1.38,1.4
d_0,0.65,0.85,0.25,1.84,0.7,0.63,1.16,1.02,0.67,3.08,1.05,1.17,1.43,0.86,1.24,0.88
b_0,0.69,0.68,0.94,0.74,0.37,0.45,1.16,1.17,1.24,1.17,4.03,1.44,1.24,3.13,0.99,1.38
f_0,0.53,0.43,0.82,0.9,0.66,0.62,1.16,1.14,1.21,1.16,1.34,4.17,1.48,1.23,3.02,1.31
h_0,0.67,1.23,0.88,0.66,0.51,0.45,0.57,1.68,0.86,1.17,1.46,0.99,0.79,1.65,1.36,1.62
a_0,0.73,0.68,0.79,0.64,0.55,0.33,1.6,1.19,1.4,1.32,1.27,1.28,1.4,5.1,1.33,1.62
e_0,0.24,1.03,0.82,0.93,0.65,0.62,1.59,1.13,1.11,1.23,1.13,0.96,1.59,0.81,5.19,1.29
g_0,0.51,0.48,1.76,0.64,0.55,0.66,0.92,0.88,1.19,0.91,1.57,2.05,1.4,1.34,1.19,0.79
