,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.41,0.58,0.8,0.85,0.8,0.9,0.43,0.48,0.47,0.39,0.42,0.47,0.4,0.36,0.34,0.7
f_1,0.84,0.41,0.76,0.77,0.75,0.84,0.36,0.58,0.38,0.33,0.35,0.48,0.36,0.22,0.37,0.28
d_1,0.93,0.8,0.4,0.81,0.79,0.79,0.46,0.32,0.47,0.38,0.39,0.32,0.32,0.29,0.23,0.32
c_1,0.74,0.8,0.94,0.39,0.96,0.62,0.44,0.38,0.23,0.46,0.34,0.32,0.37,0.32,0.36,0.34
b_1,0.87,0.96,0.81,0.51,0.36,1.0,0.42,0.44,0.37,0.43,0.58,0.42,0.38,0.31,0.28,0.31
a_1,0.88,0.79,0.8,1.1,0.49,0.29,0.62,0.41,0.41,0.35,0.37,0.37,0.57,0.33,0.33,0.39
h_1,0.73,0.71,0.71,0.74,0.82,0.55,0.25,0.42,0.35,0.36,0.35,0.29,0.32,0.37,0.31,0.32
g_1,0.67,0.75,0.72,0.81,0.76,0.71,0.32,0.23,0.33,0.34,0.3,0.31,0.31,0.23,0.28,0.34
d_0,0.44,0.75,1.0,0.86,0.79,0.67,0.41,0.47,0.25,0.31,0.34,0.34,0.34,0.32,0.28,0.34
c_0,0.65,0.89,0.46,1.12,0.77,0.73,0.37,0.38,0.44,0.25,0.4,0.35,0.35,0.31,0.25,0.32
b_0,0.69,0.71,0.6,0.98,1.04,0.67,0.38,0.43,0.34,0.21,0.23,0.33,0.37,0.32,0.3,0.34
f_0,0.62,1.05,0.74,0.78,0.74,0.68,0.41,0.27,0.31,0.3,0.31,0.22,0.32,0.31,0.18,0.37
a_0,0.71,0.72,0.72,0.71,0.75,0.9,0.39,0.44,0.37,0.28,0.22,0.31,0.21,0.24,0.26,0.35
h_0,0.62,0.87,0.71,0.7,0.73,0.61,0.41,0.46,0.33,0.3,0.31,0.29,0.35,0.38,0.28,0.3
g_0,0.67,0.65,0.82,0.68,0.78,0.68,0.32,0.49,0.34,0.33,0.29,0.38,0.3,0.23,0.32,0.31
e_0,0.68,1.08,0.77,0.76,0.7,0.6,0.38,0.33,0.29,0.34,0.32,0.18,0.29,0.26,0.24,0.19
