,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.34,1.78,0.97,1.08,0.8,0.75,1.8,1.73,1.97,2.29,2.14,1.56,2.72,1.22,1.63,2.15
e_1,1.17,2.37,0.94,1.31,0.96,0.67,2.01,1.86,1.89,3.72,2.22,2.23,2.78,1.51,1.83,2.43
d_1,1.17,1.0,2.42,0.82,1.02,0.84,2.01,1.71,3.82,1.42,2.57,2.14,2.63,2.09,1.81,2.26
c_1,1.13,0.98,0.95,2.58,1.7,0.87,1.87,1.8,1.27,2.08,1.59,2.08,2.54,1.55,1.62,2.42
b_1,1.24,0.95,1.04,0.95,2.61,1.44,1.98,1.72,2.17,2.0,1.62,2.14,2.64,1.78,1.61,2.3
a_1,1.29,1.02,1.14,1.04,1.05,3.26,2.23,1.51,2.34,1.81,2.27,1.72,2.65,2.05,1.5,2.41
h_1,1.44,1.16,1.19,1.07,1.03,0.81,3.48,2.17,1.98,2.05,2.02,2.27,2.3,1.81,2.2,3.61
g_1,1.04,0.94,1.55,1.06,1.04,0.8,2.1,3.68,2.36,1.79,2.27,3.23,2.62,2.05,2.11,2.42
c_0,1.22,1.29,1.23,0.95,0.84,0.81,2.22,2.1,3.4,2.44,4.25,2.48,3.23,2.19,2.57,3.08
d_0,1.2,1.15,0.94,1.91,1.16,0.75,2.09,1.74,1.5,3.32,2.12,2.13,2.79,1.95,1.79,2.85
b_0,1.21,1.19,1.25,1.17,0.85,0.78,2.11,2.06,2.32,2.45,3.46,2.38,3.33,2.36,4.04,2.93
f_0,0.86,0.89,1.41,1.22,1.21,0.91,2.18,2.27,2.62,2.3,2.52,3.57,3.41,3.94,2.29,3.05
h_0,1.42,1.24,1.27,1.24,0.94,0.75,1.69,2.58,2.37,2.16,2.35,2.06,2.26,1.67,1.85,3.25
e_0,1.36,1.0,1.3,1.1,1.07,0.95,2.22,2.15,2.49,2.04,2.49,1.9,3.55,3.86,2.32,3.2
a_0,1.23,1.17,1.33,1.06,0.94,0.66,2.15,2.1,2.68,2.08,2.52,2.67,3.38,2.13,3.76,3.11
g_0,1.01,1.08,1.66,1.18,1.05,0.85,1.85,1.97,2.4,1.83,2.61,3.24,3.01,2.47,2.21,2.07
