,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.42,1.13,1.76,1.33,1.16,1.11,2.11,1.91,2.66,2.77,2.51,1.79,3.26,2.58,2.95,2.14
d_1,1.3,2.48,1.19,1.01,1.26,1.16,2.53,2.29,4.05,2.04,3.11,3.07,3.23,3.07,3.55,2.93
e_1,1.22,1.19,2.49,1.43,1.2,1.11,2.37,2.64,2.68,4.34,2.83,3.06,3.74,2.63,3.43,1.83
c_1,1.16,1.28,1.1,2.65,1.96,1.23,2.24,2.14,1.62,2.13,1.92,2.52,2.88,2.3,3.18,2.83
b_1,1.23,1.23,1.13,1.12,2.74,2.09,2.42,2.36,2.27,2.55,1.79,2.45,3.12,2.33,3.2,3.03
a_1,1.43,1.41,1.37,1.13,0.95,3.11,2.52,2.67,2.45,2.63,3.5,2.45,3.53,2.31,3.3,2.21
h_1,1.74,1.36,1.3,1.33,1.27,1.27,4.0,3.04,3.0,2.64,3.04,2.92,2.8,2.87,4.14,2.88
g_1,1.4,1.8,1.19,1.3,1.37,1.18,2.49,4.43,2.9,2.32,3.01,3.87,3.81,3.08,2.83,3.35
c_0,1.46,1.34,1.28,1.3,1.15,1.41,2.69,3.0,4.07,3.01,5.38,3.26,3.86,3.28,3.48,3.47
d_0,1.34,0.88,1.09,2.43,1.41,1.35,2.61,3.27,2.26,4.1,3.18,3.12,3.53,2.85,3.82,3.22
b_0,1.45,1.54,1.23,1.72,0.88,0.97,2.69,2.77,2.46,3.12,4.48,3.09,4.11,5.94,3.98,3.37
f_0,1.16,1.48,1.21,1.46,1.31,1.49,2.74,2.71,2.78,3.06,3.06,4.53,4.01,3.11,3.62,5.79
h_0,1.56,1.4,1.32,1.44,1.33,1.3,2.15,3.13,2.96,3.12,3.21,2.8,2.87,2.9,4.71,2.89
a_0,1.43,1.33,1.33,1.56,1.34,0.88,2.74,2.77,2.86,3.39,2.38,3.36,4.54,5.13,4.0,3.94
g_0,1.33,1.69,1.18,1.43,1.34,1.24,2.55,2.43,3.22,2.99,2.78,4.12,3.35,3.24,3.07,3.56
e_0,1.48,1.57,1.14,1.43,1.33,1.49,2.89,2.64,2.76,2.72,3.22,2.58,3.87,3.12,3.57,5.28
