,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.39,1.29,1.48,1.81,3.11,17.5,31.43,30.99,33.78,37.37,53.34,63.3,81.98,119.5,101.82
e_1,0.73,1.0,1.17,1.59,1.89,3.49,19.93,30.43,40.38,35.56,40.11,60.2,69.17,82.56,130.52,130.45
d_1,0.78,0.82,1.0,1.15,1.46,2.48,15.87,20.55,24.43,34.97,32.06,40.96,54.2,76.44,81.61,107.64
c_1,0.68,0.64,0.85,1.0,1.74,2.64,13.81,21.04,15.99,24.07,22.02,37.36,50.11,64.03,80.87,93.74
b_1,0.55,0.53,0.67,0.59,1.0,2.54,11.53,16.02,16.43,22.28,20.87,28.89,40.42,40.85,72.24,72.49
a_1,0.32,0.29,0.41,0.37,0.41,1.0,6.81,9.07,8.73,12.71,13.5,17.06,22.87,27.09,35.49,41.7
h_1,0.06,0.05,0.06,0.07,0.09,0.14,1.0,1.69,1.57,1.68,1.85,2.41,3.32,4.14,7.01,6.8
g_1,0.03,0.03,0.05,0.05,0.06,0.11,0.61,1.0,1.01,1.2,1.32,2.03,2.07,2.96,4.18,4.42
d_0,0.03,0.03,0.04,0.07,0.06,0.11,0.65,0.98,1.0,1.01,1.37,1.73,2.47,3.12,3.99,4.66
c_0,0.03,0.03,0.03,0.04,0.04,0.08,0.58,0.85,0.92,1.0,1.41,1.38,2.11,2.71,3.31,3.95
b_0,0.03,0.02,0.03,0.05,0.05,0.07,0.55,0.82,0.74,0.73,1.0,1.31,1.88,3.15,2.9,3.56
f_0,0.02,0.02,0.02,0.03,0.04,0.06,0.41,0.48,0.56,0.68,0.76,1.0,1.33,1.81,1.92,3.64
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.31,0.5,0.41,0.48,0.54,0.7,1.0,1.23,1.85,1.63
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.33,0.34,0.35,0.33,0.59,0.79,1.0,1.41,1.47
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.25,0.26,0.29,0.33,0.53,0.54,0.77,1.0,1.21
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.22,0.22,0.26,0.27,0.27,0.58,0.68,0.84,1.0
